ACC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,TNR_ratio,TNR_diff,FPR_ratio,FPR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.51,0.91,0.04,0.81,0.14,0.83,0.06,0.92,0.06,0.64,0.14,0.78,0.14,0.91,0.04,0.73,0.14,0.93,0.04
0.6,0.85,0.07,0.8,0.19,0.29,0.27,0.69,0.27,0.21,0.19,0.89,0.07,0.96,0.03,0.84,0.07,0.94,0.03
0.65,0.8,0.09,0.79,0.2,0.44,0.32,0.58,0.32,0.3,0.2,0.96,0.03,0.98,0.01,0.92,0.03,0.97,0.01
0.66,0.82,0.08,0.81,0.17,0.58,0.25,0.63,0.25,0.39,0.17,0.94,0.04,0.99,0.01,0.89,0.04,0.97,0.01
0.67,0.86,0.06,0.88,0.1,0.73,0.17,0.69,0.17,0.66,0.1,0.94,0.04,0.89,0.08,0.88,0.04,0.81,0.08
0.68,0.85,0.06,0.9,0.07,0.75,0.17,0.64,0.17,0.77,0.07,0.97,0.02,0.84,0.11,0.94,0.02,0.75,0.11
0.67,0.88,0.05,0.91,0.07,0.74,0.15,0.72,0.15,0.71,0.07,0.94,0.04,0.87,0.09,0.87,0.04,0.78,0.09
0.68,0.89,0.04,0.95,0.04,0.81,0.12,0.74,0.12,0.85,0.04,0.95,0.04,0.84,0.11,0.88,0.04,0.74,0.11
0.67,0.92,0.03,0.97,0.02,0.85,0.09,0.82,0.09,0.91,0.02,0.92,0.06,0.84,0.11,0.84,0.06,0.73,0.11
0.68,0.92,0.03,1.0,0.0,0.86,0.09,0.78,0.09,0.99,0.0,0.95,0.04,0.81,0.13,0.88,0.04,0.7,0.13
0.67,0.92,0.03,0.97,0.02,0.84,0.09,0.81,0.09,0.92,0.02,0.92,0.05,0.83,0.12,0.84,0.05,0.72,0.12
0.67,0.93,0.03,0.99,0.01,0.86,0.08,0.83,0.08,0.96,0.01,0.92,0.05,0.82,0.12,0.84,0.05,0.71,0.12
