ACC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,TNR_ratio,TNR_diff,FPR_ratio,FPR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff,EQO_ratio,EQO_diff
0.6,0.36,0.32,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.84,0.12,0.0,1.0,0.7,0.12,0.0,1.0,0.0,1.0
0.63,0.43,0.28,0.42,0.58,0.03,0.85,0.13,0.85,0.02,0.58,0.8,0.16,0.97,0.02,0.59,0.16,0.96,0.02,0.28,0.71
0.66,0.54,0.22,0.53,0.44,0.21,0.65,0.21,0.65,0.09,0.44,0.86,0.1,0.88,0.08,0.71,0.1,0.78,0.08,0.37,0.55
0.67,0.7,0.15,0.7,0.29,0.22,0.53,0.37,0.53,0.09,0.29,0.94,0.04,0.88,0.09,0.87,0.04,0.73,0.09,0.53,0.41
0.68,0.67,0.14,0.67,0.3,0.48,0.39,0.38,0.39,0.26,0.3,0.96,0.03,0.94,0.04,0.91,0.03,0.87,0.04,0.53,0.34
0.68,0.69,0.14,0.69,0.27,0.5,0.38,0.4,0.38,0.29,0.27,0.97,0.02,0.97,0.02,0.92,0.02,0.94,0.02,0.54,0.33
0.69,0.72,0.12,0.73,0.24,0.49,0.36,0.44,0.36,0.31,0.24,0.97,0.02,0.99,0.01,0.94,0.02,0.97,0.01,0.58,0.3
0.69,0.73,0.12,0.73,0.23,0.54,0.33,0.45,0.33,0.34,0.23,0.99,0.01,0.99,0.01,0.97,0.01,0.98,0.01,0.59,0.28
0.69,0.75,0.11,0.76,0.21,0.6,0.28,0.5,0.28,0.38,0.21,1.0,0.0,0.99,0.0,0.99,0.0,0.99,0.0,0.63,0.24
0.69,0.77,0.1,0.79,0.18,0.64,0.26,0.52,0.26,0.48,0.18,1.0,0.0,0.95,0.03,1.0,0.0,0.91,0.03,0.66,0.22
0.68,0.81,0.08,0.82,0.15,0.71,0.19,0.63,0.19,0.52,0.15,0.95,0.04,0.96,0.03,0.89,0.04,0.92,0.03,0.72,0.17
0.69,0.81,0.08,0.81,0.17,0.68,0.21,0.62,0.21,0.44,0.17,0.95,0.04,1.0,0.0,0.89,0.04,1.0,0.0,0.72,0.19
0.68,0.81,0.08,0.81,0.16,0.69,0.2,0.64,0.2,0.46,0.16,0.94,0.04,1.0,0.0,0.87,0.04,0.99,0.0,0.73,0.18
0.69,0.82,0.07,0.83,0.13,0.74,0.18,0.64,0.18,0.59,0.13,0.95,0.03,0.93,0.05,0.89,0.03,0.88,0.05,0.73,0.15
0.68,0.83,0.07,0.84,0.14,0.7,0.19,0.65,0.19,0.54,0.14,0.95,0.04,0.95,0.04,0.88,0.04,0.9,0.04,0.74,0.17
0.68,0.82,0.08,0.83,0.15,0.67,0.21,0.62,0.21,0.51,0.15,0.96,0.03,0.95,0.03,0.9,0.03,0.91,0.03,0.72,0.18
0.69,0.79,0.08,0.82,0.15,0.7,0.21,0.58,0.21,0.56,0.15,0.98,0.02,0.93,0.05,0.95,0.02,0.88,0.05,0.7,0.18
0.68,0.82,0.07,0.82,0.15,0.75,0.17,0.68,0.17,0.53,0.15,0.93,0.05,0.97,0.02,0.85,0.05,0.94,0.02,0.75,0.16
0.68,0.83,0.07,0.83,0.14,0.74,0.17,0.67,0.17,0.54,0.14,0.94,0.04,0.96,0.03,0.86,0.04,0.92,0.03,0.75,0.16
0.68,0.81,0.08,0.81,0.16,0.75,0.17,0.66,0.17,0.52,0.16,0.93,0.05,0.98,0.01,0.85,0.05,0.96,0.01,0.74,0.17
0.68,0.83,0.07,0.84,0.14,0.74,0.17,0.68,0.17,0.54,0.14,0.93,0.05,0.96,0.03,0.86,0.05,0.93,0.03,0.76,0.16
0.68,0.85,0.06,0.86,0.12,0.76,0.15,0.72,0.15,0.57,0.12,0.93,0.05,0.96,0.03,0.84,0.05,0.91,0.03,0.79,0.14
0.68,0.82,0.08,0.82,0.15,0.71,0.19,0.66,0.19,0.5,0.15,0.94,0.04,0.97,0.02,0.87,0.04,0.95,0.02,0.74,0.17
0.68,0.8,0.08,0.81,0.16,0.68,0.21,0.6,0.21,0.51,0.16,0.96,0.03,0.96,0.03,0.91,0.03,0.92,0.03,0.71,0.18
0.69,0.83,0.07,0.83,0.14,0.74,0.17,0.67,0.17,0.52,0.14,0.94,0.04,0.97,0.02,0.86,0.04,0.95,0.02,0.75,0.16
0.69,0.84,0.07,0.85,0.13,0.77,0.15,0.71,0.15,0.56,0.13,0.93,0.05,0.96,0.02,0.84,0.05,0.93,0.02,0.78,0.14
0.69,0.81,0.08,0.84,0.13,0.71,0.2,0.61,0.2,0.59,0.13,0.97,0.02,0.92,0.05,0.92,0.02,0.86,0.05,0.72,0.17
0.69,0.83,0.07,0.82,0.15,0.74,0.17,0.68,0.17,0.49,0.15,0.93,0.05,0.99,0.01,0.85,0.05,0.98,0.01,0.75,0.16
0.68,0.78,0.09,0.8,0.16,0.66,0.24,0.55,0.24,0.53,0.16,0.98,0.01,0.93,0.05,0.96,0.01,0.88,0.05,0.68,0.2
0.68,0.78,0.09,0.8,0.16,0.66,0.24,0.55,0.24,0.52,0.16,0.98,0.01,0.93,0.04,0.96,0.01,0.88,0.04,0.68,0.2
0.69,0.79,0.09,0.81,0.16,0.65,0.24,0.55,0.24,0.52,0.16,0.99,0.01,0.93,0.04,0.96,0.01,0.88,0.04,0.68,0.2
0.68,0.82,0.07,0.84,0.13,0.72,0.19,0.65,0.19,0.58,0.13,0.95,0.03,0.93,0.05,0.89,0.03,0.87,0.05,0.74,0.16
0.68,0.82,0.07,0.85,0.12,0.72,0.19,0.64,0.19,0.61,0.12,0.96,0.03,0.91,0.06,0.9,0.03,0.84,0.06,0.74,0.15
0.68,0.79,0.08,0.82,0.14,0.7,0.21,0.57,0.21,0.6,0.14,0.98,0.01,0.91,0.06,0.96,0.01,0.85,0.06,0.69,0.17
0.68,0.79,0.09,0.8,0.17,0.67,0.23,0.58,0.23,0.49,0.17,0.97,0.02,0.96,0.03,0.93,0.02,0.92,0.03,0.69,0.2
0.69,0.79,0.09,0.81,0.16,0.67,0.23,0.56,0.23,0.52,0.16,0.98,0.01,0.95,0.04,0.95,0.01,0.9,0.04,0.69,0.2
0.68,0.81,0.08,0.82,0.15,0.68,0.21,0.62,0.21,0.52,0.15,0.96,0.03,0.95,0.04,0.91,0.03,0.9,0.04,0.72,0.18
0.68,0.8,0.08,0.82,0.15,0.69,0.21,0.61,0.21,0.52,0.15,0.96,0.03,0.95,0.03,0.91,0.03,0.91,0.03,0.71,0.18
