ACC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,TNR_ratio,TNR_diff,FPR_ratio,FPR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.56,0.12,0.43,0.09,0.89,0.08,0.88,0.04,0.88,0.02,0.89,0.89,0.08,0.73,0.18,0.8,0.08,0.63,0.18
0.61,0.37,0.31,0.33,0.66,0.09,0.81,0.12,0.81,0.03,0.66,0.84,0.12,0.81,0.13,0.68,0.12,0.71,0.13
0.64,0.54,0.23,0.5,0.48,0.1,0.71,0.23,0.71,0.04,0.48,0.89,0.08,0.87,0.09,0.79,0.08,0.78,0.09
0.66,0.65,0.17,0.65,0.34,0.17,0.6,0.32,0.6,0.08,0.34,0.91,0.06,0.91,0.06,0.83,0.06,0.82,0.06
0.67,0.72,0.13,0.73,0.26,0.25,0.49,0.41,0.49,0.13,0.26,0.95,0.03,0.93,0.05,0.91,0.03,0.84,0.05
0.68,0.75,0.12,0.76,0.23,0.35,0.42,0.46,0.42,0.2,0.23,0.98,0.02,0.96,0.03,0.96,0.02,0.91,0.03
0.68,0.77,0.1,0.78,0.2,0.46,0.35,0.51,0.35,0.27,0.2,1.0,0.0,0.97,0.02,1.0,0.0,0.94,0.02
0.68,0.78,0.1,0.79,0.19,0.52,0.31,0.53,0.31,0.33,0.19,0.99,0.01,0.99,0.01,0.98,0.01,0.98,0.01
0.68,0.78,0.1,0.8,0.18,0.56,0.29,0.53,0.29,0.42,0.18,0.99,0.01,0.96,0.03,0.98,0.01,0.92,0.03
0.69,0.8,0.09,0.82,0.15,0.63,0.25,0.57,0.25,0.5,0.15,0.98,0.01,0.94,0.04,0.96,0.01,0.89,0.04
0.69,0.82,0.07,0.85,0.12,0.71,0.19,0.63,0.19,0.58,0.12,0.96,0.03,0.92,0.05,0.91,0.03,0.86,0.05
0.69,0.85,0.06,0.89,0.09,0.74,0.17,0.66,0.17,0.69,0.09,0.96,0.03,0.88,0.08,0.91,0.03,0.79,0.08
0.68,0.86,0.06,0.9,0.08,0.74,0.17,0.67,0.17,0.73,0.08,0.96,0.03,0.86,0.1,0.92,0.03,0.76,0.1
0.68,0.87,0.05,0.91,0.07,0.75,0.16,0.7,0.16,0.74,0.07,0.95,0.04,0.86,0.09,0.89,0.04,0.77,0.09
0.68,0.87,0.05,0.91,0.07,0.77,0.15,0.72,0.15,0.73,0.07,0.94,0.04,0.87,0.09,0.88,0.04,0.78,0.09
0.68,0.87,0.05,0.9,0.08,0.77,0.15,0.72,0.15,0.72,0.08,0.94,0.04,0.88,0.08,0.87,0.04,0.79,0.08
0.68,0.85,0.06,0.89,0.09,0.74,0.17,0.67,0.17,0.7,0.09,0.96,0.03,0.87,0.09,0.9,0.03,0.79,0.09
0.68,0.84,0.06,0.87,0.1,0.73,0.17,0.67,0.17,0.65,0.1,0.95,0.04,0.89,0.07,0.89,0.04,0.82,0.07
0.68,0.83,0.07,0.86,0.11,0.71,0.19,0.63,0.19,0.63,0.11,0.96,0.03,0.89,0.07,0.92,0.03,0.82,0.07
0.68,0.82,0.08,0.84,0.13,0.7,0.2,0.61,0.2,0.6,0.13,0.97,0.02,0.91,0.06,0.93,0.02,0.84,0.06
0.68,0.82,0.07,0.84,0.13,0.69,0.2,0.63,0.2,0.57,0.13,0.96,0.03,0.92,0.05,0.91,0.03,0.86,0.05
0.68,0.81,0.08,0.82,0.15,0.69,0.2,0.62,0.2,0.52,0.15,0.95,0.03,0.95,0.03,0.9,0.03,0.91,0.03
0.68,0.81,0.08,0.82,0.15,0.68,0.21,0.62,0.21,0.5,0.15,0.96,0.03,0.96,0.03,0.9,0.03,0.92,0.03
0.68,0.81,0.08,0.82,0.16,0.68,0.21,0.62,0.21,0.49,0.16,0.95,0.03,0.97,0.02,0.9,0.03,0.94,0.02
0.68,0.81,0.08,0.82,0.16,0.68,0.21,0.62,0.21,0.49,0.16,0.96,0.03,0.97,0.02,0.9,0.03,0.94,0.02
0.69,0.81,0.08,0.82,0.15,0.68,0.22,0.61,0.22,0.51,0.15,0.96,0.03,0.95,0.03,0.92,0.03,0.91,0.03
0.69,0.81,0.08,0.83,0.14,0.69,0.21,0.62,0.21,0.53,0.14,0.96,0.03,0.95,0.04,0.91,0.03,0.9,0.04
0.69,0.82,0.08,0.83,0.14,0.7,0.2,0.64,0.2,0.52,0.14,0.95,0.03,0.95,0.03,0.89,0.03,0.91,0.03
0.68,0.82,0.08,0.83,0.14,0.7,0.2,0.64,0.2,0.52,0.14,0.95,0.03,0.96,0.03,0.89,0.03,0.92,0.03
