ACC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,TNR_ratio,TNR_diff,FPR_ratio,FPR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.59,0.92,0.04,0.91,0.09,0.0,1.0,0.0,1.0,0.04,0.09,0.9,0.06,0.0,1.0,0.86,0.06,0.0,1.0
0.65,0.75,0.12,0.7,0.28,0.42,0.35,0.52,0.35,0.18,0.28,0.97,0.02,0.87,0.09,0.93,0.02,0.75,0.09
0.65,0.76,0.11,0.72,0.26,0.43,0.35,0.54,0.35,0.2,0.26,0.97,0.02,0.89,0.08,0.94,0.02,0.8,0.08
0.65,0.76,0.1,0.73,0.24,0.54,0.29,0.56,0.29,0.33,0.24,0.96,0.03,0.97,0.02,0.91,0.03,0.94,0.02
0.66,0.75,0.11,0.72,0.26,0.42,0.36,0.52,0.36,0.18,0.26,0.98,0.01,0.87,0.09,0.96,0.01,0.74,0.09
0.66,0.75,0.12,0.72,0.26,0.43,0.36,0.51,0.36,0.19,0.26,0.98,0.01,0.88,0.09,0.97,0.01,0.76,0.09
0.67,0.75,0.11,0.73,0.24,0.54,0.31,0.52,0.31,0.32,0.24,0.99,0.01,0.95,0.03,0.97,0.01,0.92,0.03
0.67,0.79,0.09,0.78,0.2,0.57,0.27,0.57,0.27,0.38,0.2,0.97,0.02,1.0,0.0,0.94,0.02,1.0,0.0
0.67,0.79,0.09,0.78,0.2,0.55,0.29,0.56,0.29,0.36,0.2,0.98,0.02,0.99,0.01,0.95,0.02,0.98,0.01
0.67,0.78,0.1,0.77,0.21,0.55,0.29,0.56,0.29,0.34,0.21,0.97,0.02,0.97,0.02,0.95,0.02,0.94,0.02
0.67,0.8,0.09,0.79,0.18,0.6,0.26,0.59,0.26,0.4,0.18,0.97,0.02,1.0,0.0,0.94,0.02,1.0,0.0
0.67,0.79,0.09,0.78,0.19,0.64,0.24,0.59,0.24,0.41,0.19,0.96,0.03,0.99,0.01,0.91,0.03,0.98,0.01
0.67,0.78,0.09,0.77,0.2,0.64,0.24,0.58,0.24,0.41,0.2,0.97,0.02,0.98,0.01,0.92,0.02,0.97,0.01
0.67,0.82,0.07,0.83,0.13,0.71,0.19,0.64,0.19,0.61,0.13,0.96,0.03,0.91,0.06,0.91,0.03,0.87,0.06
0.67,0.83,0.07,0.83,0.14,0.68,0.19,0.67,0.19,0.49,0.14,0.95,0.04,0.97,0.02,0.89,0.04,0.95,0.02
0.67,0.82,0.08,0.81,0.16,0.66,0.21,0.65,0.21,0.45,0.16,0.95,0.04,1.0,0.0,0.89,0.04,0.99,0.0
0.67,0.8,0.09,0.79,0.17,0.64,0.24,0.59,0.24,0.47,0.17,0.97,0.02,0.97,0.02,0.94,0.02,0.95,0.02
0.68,0.82,0.08,0.82,0.15,0.63,0.23,0.62,0.23,0.47,0.15,0.97,0.02,0.97,0.02,0.93,0.02,0.94,0.02
0.68,0.84,0.07,0.84,0.13,0.74,0.17,0.67,0.17,0.58,0.13,0.95,0.04,0.95,0.03,0.89,0.04,0.91,0.03
0.68,0.82,0.08,0.83,0.15,0.64,0.22,0.63,0.22,0.48,0.15,0.96,0.03,0.96,0.02,0.92,0.03,0.93,0.02
