ACC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,TNR_ratio,TNR_diff,FPR_ratio,FPR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.57,0.73,0.13,0.0,1.0,0.01,0.45,0.54,0.45,0.0,1.0,0.89,0.07,0.0,1.0,0.85,0.07,0.0,1.0
0.61,0.6,0.19,0.52,0.47,0.18,0.57,0.35,0.57,0.05,0.47,0.99,0.0,0.75,0.18,0.99,0.0,0.58,0.18
0.65,0.68,0.15,0.64,0.35,0.27,0.48,0.41,0.48,0.1,0.35,0.99,0.01,0.81,0.14,0.98,0.01,0.65,0.14
0.65,0.7,0.14,0.67,0.3,0.38,0.41,0.44,0.41,0.23,0.3,0.99,0.0,0.96,0.03,0.99,0.0,0.93,0.03
0.66,0.73,0.13,0.7,0.29,0.35,0.41,0.47,0.41,0.14,0.29,1.0,0.0,0.85,0.11,1.0,0.0,0.7,0.11
0.67,0.74,0.12,0.72,0.27,0.37,0.41,0.47,0.41,0.17,0.27,0.99,0.01,0.89,0.08,0.98,0.01,0.78,0.08
0.66,0.74,0.12,0.72,0.25,0.48,0.35,0.49,0.35,0.3,0.25,0.99,0.01,0.97,0.02,0.98,0.01,0.95,0.02
0.67,0.77,0.1,0.77,0.2,0.52,0.31,0.53,0.31,0.37,0.2,0.99,0.01,0.98,0.01,0.98,0.01,0.96,0.01
0.67,0.78,0.1,0.77,0.21,0.53,0.3,0.54,0.3,0.36,0.21,0.98,0.01,1.0,0.0,0.96,0.01,1.0,0.0
0.67,0.78,0.1,0.78,0.19,0.53,0.3,0.54,0.3,0.37,0.19,0.99,0.01,0.98,0.01,0.98,0.01,0.96,0.01
0.67,0.8,0.09,0.8,0.18,0.57,0.28,0.57,0.28,0.41,0.18,0.98,0.01,0.97,0.02,0.96,0.01,0.95,0.02
0.67,0.8,0.09,0.79,0.18,0.64,0.24,0.59,0.24,0.46,0.18,0.97,0.02,0.97,0.02,0.92,0.02,0.96,0.02
0.67,0.8,0.09,0.79,0.18,0.64,0.23,0.6,0.23,0.47,0.18,0.96,0.02,0.97,0.02,0.92,0.02,0.95,0.02
0.66,0.83,0.07,0.84,0.13,0.71,0.19,0.64,0.19,0.62,0.13,0.96,0.03,0.9,0.06,0.91,0.03,0.85,0.06
0.67,0.84,0.07,0.84,0.14,0.71,0.17,0.69,0.17,0.53,0.14,0.94,0.04,0.97,0.02,0.87,0.04,0.94,0.02
0.67,0.83,0.07,0.82,0.15,0.68,0.19,0.67,0.19,0.48,0.15,0.94,0.04,0.99,0.01,0.88,0.04,0.98,0.01
0.67,0.8,0.08,0.79,0.18,0.67,0.21,0.62,0.21,0.47,0.18,0.95,0.03,0.98,0.01,0.9,0.03,0.97,0.01
0.67,0.83,0.07,0.82,0.15,0.65,0.21,0.65,0.21,0.47,0.15,0.95,0.04,0.98,0.02,0.89,0.04,0.96,0.02
0.67,0.84,0.07,0.86,0.12,0.73,0.18,0.67,0.18,0.62,0.12,0.96,0.03,0.91,0.06,0.9,0.03,0.86,0.06
0.67,0.82,0.08,0.82,0.15,0.64,0.23,0.63,0.23,0.48,0.15,0.96,0.03,0.96,0.02,0.92,0.03,0.93,0.02
0.67,0.82,0.08,0.8,0.18,0.63,0.22,0.64,0.22,0.38,0.18,0.94,0.04,0.96,0.03,0.88,0.04,0.92,0.03
0.67,0.83,0.08,0.81,0.16,0.67,0.2,0.66,0.2,0.45,0.16,0.94,0.04,1.0,0.0,0.88,0.04,1.0,0.0
0.67,0.82,0.08,0.81,0.17,0.64,0.22,0.63,0.22,0.44,0.17,0.95,0.03,1.0,0.0,0.9,0.03,0.99,0.0
0.67,0.82,0.08,0.81,0.17,0.64,0.22,0.64,0.22,0.44,0.17,0.95,0.03,0.99,0.01,0.9,0.03,0.98,0.01
0.68,0.81,0.08,0.81,0.16,0.64,0.23,0.62,0.23,0.45,0.16,0.96,0.03,0.99,0.01,0.92,0.03,0.97,0.01
0.68,0.82,0.08,0.81,0.17,0.64,0.22,0.63,0.22,0.42,0.17,0.95,0.03,0.99,0.0,0.9,0.03,0.99,0.0
0.68,0.82,0.08,0.82,0.15,0.72,0.18,0.65,0.18,0.54,0.15,0.95,0.03,0.96,0.02,0.89,0.03,0.94,0.02
0.68,0.82,0.08,0.81,0.16,0.68,0.21,0.63,0.21,0.48,0.16,0.96,0.03,0.98,0.01,0.91,0.03,0.97,0.01
0.68,0.81,0.09,0.8,0.18,0.56,0.27,0.59,0.27,0.34,0.18,0.97,0.02,0.97,0.02,0.94,0.02,0.93,0.02
0.68,0.82,0.08,0.82,0.16,0.68,0.2,0.65,0.2,0.47,0.16,0.95,0.03,0.99,0.01,0.89,0.03,0.98,0.01
0.68,0.82,0.08,0.82,0.15,0.68,0.2,0.63,0.2,0.49,0.15,0.96,0.03,0.98,0.01,0.91,0.03,0.96,0.01
0.68,0.82,0.08,0.81,0.17,0.64,0.22,0.64,0.22,0.4,0.17,0.95,0.03,0.97,0.02,0.89,0.03,0.94,0.02
0.68,0.83,0.07,0.82,0.15,0.71,0.19,0.66,0.19,0.5,0.15,0.95,0.04,0.98,0.01,0.89,0.04,0.97,0.01
0.68,0.83,0.07,0.83,0.14,0.72,0.18,0.68,0.18,0.53,0.14,0.94,0.04,0.97,0.02,0.88,0.04,0.94,0.02
0.68,0.82,0.08,0.81,0.17,0.66,0.21,0.65,0.21,0.41,0.17,0.95,0.04,0.98,0.02,0.88,0.04,0.95,0.02
0.67,0.82,0.08,0.81,0.16,0.68,0.2,0.64,0.2,0.5,0.16,0.95,0.03,0.97,0.02,0.9,0.03,0.95,0.02
0.68,0.81,0.08,0.81,0.17,0.64,0.23,0.62,0.23,0.43,0.17,0.96,0.03,1.0,0.0,0.91,0.03,0.99,0.0
0.67,0.85,0.06,0.87,0.11,0.76,0.15,0.69,0.15,0.67,0.11,0.95,0.04,0.91,0.06,0.89,0.04,0.85,0.06
0.68,0.81,0.08,0.8,0.17,0.63,0.23,0.62,0.23,0.41,0.17,0.96,0.03,0.99,0.01,0.91,0.03,0.98,0.01
0.68,0.8,0.09,0.79,0.19,0.64,0.23,0.62,0.23,0.38,0.19,0.96,0.03,0.96,0.03,0.9,0.03,0.92,0.03
0.68,0.82,0.08,0.81,0.16,0.65,0.22,0.63,0.22,0.45,0.16,0.95,0.03,0.99,0.0,0.9,0.03,0.99,0.0
0.68,0.83,0.07,0.82,0.16,0.68,0.19,0.67,0.19,0.45,0.16,0.94,0.04,0.99,0.01,0.88,0.04,0.98,0.01
0.67,0.84,0.07,0.84,0.13,0.75,0.16,0.69,0.16,0.58,0.13,0.94,0.04,0.95,0.03,0.87,0.04,0.92,0.03
0.68,0.87,0.05,0.9,0.08,0.8,0.13,0.73,0.13,0.73,0.08,0.95,0.04,0.89,0.07,0.88,0.04,0.82,0.07
0.68,0.83,0.07,0.83,0.15,0.67,0.2,0.66,0.2,0.47,0.15,0.95,0.04,0.99,0.01,0.89,0.04,0.98,0.01
0.68,0.87,0.05,0.89,0.08,0.79,0.14,0.72,0.14,0.72,0.08,0.95,0.04,0.89,0.07,0.88,0.04,0.83,0.07
0.68,0.82,0.08,0.81,0.16,0.66,0.21,0.65,0.21,0.43,0.16,0.95,0.04,0.99,0.01,0.89,0.04,0.97,0.01
0.68,0.82,0.08,0.81,0.16,0.65,0.22,0.62,0.22,0.46,0.16,0.96,0.03,0.98,0.01,0.92,0.03,0.97,0.01
0.68,0.86,0.06,0.88,0.1,0.8,0.13,0.72,0.13,0.69,0.1,0.94,0.04,0.91,0.06,0.87,0.04,0.85,0.06
0.68,0.82,0.08,0.81,0.17,0.67,0.21,0.64,0.21,0.44,0.17,0.95,0.03,0.99,0.01,0.9,0.03,0.98,0.01
