ACC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,TNR_ratio,TNR_diff,FPR_ratio,FPR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.6,0.74,0.12,0.63,0.34,0.39,0.33,0.59,0.33,0.17,0.34,0.88,0.08,0.84,0.1,0.82,0.08,0.78,0.1
0.61,0.73,0.12,0.66,0.29,0.51,0.31,0.55,0.31,0.34,0.29,0.93,0.05,1.0,0.0,0.87,0.05,1.0,0.0
0.63,0.74,0.12,0.69,0.27,0.49,0.32,0.53,0.32,0.33,0.27,0.96,0.03,1.0,0.0,0.92,0.03,1.0,0.0
0.64,0.76,0.1,0.72,0.23,0.62,0.25,0.58,0.25,0.43,0.23,0.94,0.04,0.98,0.01,0.89,0.04,0.98,0.01
0.64,0.77,0.11,0.73,0.24,0.49,0.31,0.55,0.31,0.32,0.24,0.96,0.03,0.99,0.01,0.93,0.03,0.98,0.01
0.65,0.75,0.11,0.73,0.24,0.46,0.34,0.52,0.34,0.32,0.24,0.98,0.01,0.99,0.0,0.96,0.01,0.99,0.0
0.66,0.74,0.11,0.72,0.25,0.52,0.32,0.51,0.32,0.33,0.25,0.98,0.01,0.98,0.01,0.96,0.01,0.97,0.01
0.66,0.78,0.1,0.76,0.21,0.59,0.26,0.58,0.26,0.39,0.21,0.96,0.03,1.0,0.0,0.92,0.03,1.0,0.0
0.66,0.78,0.1,0.76,0.21,0.55,0.28,0.56,0.28,0.39,0.21,0.97,0.02,0.99,0.01,0.94,0.02,0.98,0.01
0.66,0.78,0.1,0.77,0.2,0.53,0.3,0.55,0.3,0.38,0.2,0.98,0.01,0.98,0.01,0.96,0.01,0.96,0.01
0.67,0.78,0.1,0.78,0.19,0.55,0.29,0.55,0.29,0.39,0.19,0.99,0.01,0.98,0.02,0.97,0.01,0.96,0.02
0.67,0.8,0.09,0.79,0.17,0.66,0.23,0.6,0.23,0.49,0.17,0.97,0.02,0.96,0.03,0.92,0.02,0.93,0.03
0.67,0.8,0.08,0.8,0.17,0.67,0.22,0.61,0.22,0.5,0.17,0.96,0.03,0.96,0.02,0.92,0.03,0.94,0.02
0.66,0.82,0.08,0.82,0.14,0.69,0.2,0.63,0.2,0.59,0.14,0.96,0.03,0.91,0.06,0.92,0.03,0.87,0.06
0.67,0.82,0.08,0.82,0.16,0.64,0.23,0.62,0.23,0.48,0.16,0.96,0.03,0.96,0.03,0.92,0.03,0.93,0.03
0.67,0.81,0.08,0.8,0.17,0.67,0.21,0.64,0.21,0.46,0.17,0.95,0.04,1.0,0.0,0.89,0.04,0.99,0.0
0.67,0.8,0.09,0.78,0.19,0.67,0.21,0.62,0.21,0.44,0.19,0.95,0.04,0.99,0.01,0.89,0.04,0.98,0.01
0.67,0.81,0.08,0.81,0.16,0.6,0.25,0.6,0.25,0.45,0.16,0.97,0.02,0.96,0.02,0.94,0.02,0.93,0.02
0.67,0.82,0.07,0.82,0.14,0.71,0.19,0.66,0.19,0.56,0.14,0.95,0.04,0.94,0.04,0.89,0.04,0.91,0.04
0.67,0.81,0.08,0.81,0.16,0.63,0.24,0.61,0.24,0.46,0.16,0.97,0.02,0.97,0.02,0.93,0.02,0.95,0.02
