ACC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,TNR_ratio,TNR_diff,FPR_ratio,FPR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff,EQO_ratio,EQO_diff
0.57,0.89,0.05,0.83,0.15,0.64,0.16,0.78,0.16,0.52,0.15,0.88,0.07,0.83,0.11,0.84,0.07,0.77,0.11,0.8,0.15
0.63,0.99,0.0,0.97,0.02,0.96,0.03,0.93,0.03,0.95,0.02,0.91,0.07,0.9,0.06,0.82,0.07,0.86,0.06,0.95,0.03
0.66,0.93,0.03,0.93,0.06,0.86,0.07,0.87,0.07,0.75,0.06,0.94,0.04,0.97,0.02,0.89,0.04,0.93,0.02,0.9,0.07
0.66,0.93,0.03,0.92,0.07,0.88,0.06,0.88,0.06,0.7,0.07,0.93,0.05,0.99,0.01,0.88,0.05,0.98,0.01,0.9,0.07
0.67,0.93,0.03,0.91,0.07,0.89,0.06,0.89,0.06,0.68,0.07,0.93,0.05,0.99,0.01,0.87,0.05,0.98,0.01,0.9,0.07
0.67,0.92,0.03,0.92,0.06,0.88,0.07,0.87,0.07,0.72,0.06,0.94,0.04,0.99,0.01,0.88,0.04,0.97,0.01,0.9,0.07
0.67,0.9,0.04,0.89,0.09,0.9,0.06,0.86,0.06,0.68,0.09,0.93,0.05,0.99,0.01,0.86,0.05,0.98,0.01,0.88,0.07
0.67,0.9,0.04,0.89,0.09,0.89,0.07,0.86,0.07,0.65,0.09,0.93,0.05,0.98,0.01,0.86,0.05,0.95,0.01,0.88,0.08
0.68,0.9,0.04,0.89,0.09,0.89,0.07,0.85,0.07,0.65,0.09,0.94,0.04,0.98,0.01,0.87,0.04,0.96,0.01,0.87,0.08
0.67,0.92,0.03,0.9,0.08,0.93,0.04,0.91,0.04,0.67,0.08,0.92,0.06,0.98,0.02,0.84,0.06,0.94,0.02,0.91,0.06
0.66,0.91,0.04,0.89,0.1,0.88,0.06,0.88,0.06,0.59,0.1,0.92,0.05,0.96,0.03,0.86,0.05,0.9,0.03,0.89,0.08
0.67,0.94,0.02,0.91,0.08,1.0,0.0,1.0,0.0,0.69,0.08,0.89,0.08,0.96,0.03,0.79,0.08,0.92,0.03,0.96,0.04
0.67,0.96,0.02,0.93,0.06,0.98,0.01,0.98,0.01,0.76,0.06,0.89,0.08,0.99,0.01,0.8,0.08,0.97,0.01,0.96,0.03
