ACC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,TNR_ratio,TNR_diff,FPR_ratio,FPR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.52,0.9,0.05,0.81,0.18,0.4,0.14,0.85,0.14,0.32,0.18,0.76,0.15,0.81,0.09,0.71,0.15,0.86,0.09
0.61,0.83,0.08,0.79,0.21,0.22,0.32,0.65,0.32,0.11,0.21,0.86,0.09,0.96,0.02,0.8,0.09,0.93,0.02
0.63,0.84,0.08,0.84,0.16,0.23,0.33,0.64,0.33,0.11,0.16,0.89,0.07,0.95,0.04,0.84,0.07,0.87,0.04
0.67,0.8,0.1,0.81,0.18,0.37,0.35,0.56,0.35,0.23,0.18,0.94,0.04,0.98,0.02,0.89,0.04,0.94,0.02
0.68,0.79,0.09,0.82,0.16,0.51,0.31,0.55,0.31,0.37,0.16,0.95,0.04,0.93,0.05,0.89,0.04,0.84,0.05
0.69,0.78,0.1,0.8,0.17,0.6,0.27,0.55,0.27,0.43,0.17,0.94,0.04,0.93,0.05,0.88,0.04,0.86,0.05
0.69,0.8,0.09,0.82,0.16,0.66,0.22,0.61,0.22,0.46,0.16,0.92,0.06,0.94,0.05,0.83,0.06,0.87,0.05
0.68,0.83,0.07,0.84,0.14,0.7,0.18,0.68,0.18,0.49,0.14,0.89,0.08,0.93,0.05,0.79,0.08,0.87,0.05
0.67,0.85,0.06,0.87,0.11,0.78,0.13,0.75,0.13,0.6,0.11,0.88,0.09,0.9,0.07,0.75,0.09,0.82,0.07
0.68,0.86,0.06,0.88,0.1,0.82,0.11,0.78,0.11,0.65,0.1,0.87,0.09,0.89,0.08,0.74,0.09,0.8,0.08
0.67,0.88,0.05,0.89,0.09,0.83,0.1,0.81,0.1,0.66,0.09,0.86,0.1,0.89,0.08,0.73,0.1,0.8,0.08
0.67,0.88,0.05,0.89,0.09,0.84,0.1,0.81,0.1,0.67,0.09,0.86,0.1,0.89,0.08,0.72,0.1,0.8,0.08
0.67,0.88,0.05,0.89,0.09,0.86,0.08,0.84,0.08,0.66,0.09,0.85,0.11,0.9,0.07,0.71,0.11,0.82,0.07
