ACC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,TNR_ratio,TNR_diff,FPR_ratio,FPR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.54,1.0,0.0,1.0,0.0,0.68,0.03,0.97,0.03,0.92,0.0,0.77,0.15,0.95,0.03,0.71,0.15,0.95,0.03
0.63,0.84,0.07,0.82,0.16,0.44,0.26,0.68,0.26,0.29,0.16,0.87,0.09,0.95,0.03,0.79,0.09,0.91,0.03
0.64,0.82,0.09,0.8,0.19,0.37,0.31,0.62,0.31,0.19,0.19,0.89,0.07,0.97,0.02,0.82,0.07,0.93,0.02
0.68,0.73,0.13,0.75,0.23,0.31,0.45,0.43,0.45,0.2,0.23,0.99,0.0,0.96,0.03,0.99,0.0,0.91,0.03
0.69,0.72,0.13,0.74,0.24,0.42,0.4,0.44,0.4,0.24,0.24,0.99,0.01,1.0,0.0,0.97,0.01,0.99,0.0
0.69,0.7,0.13,0.72,0.25,0.46,0.39,0.41,0.39,0.29,0.25,1.0,0.0,0.97,0.02,0.99,0.0,0.94,0.02
0.69,0.73,0.12,0.75,0.22,0.47,0.37,0.44,0.37,0.31,0.22,0.99,0.01,0.95,0.03,0.98,0.01,0.91,0.03
0.69,0.76,0.11,0.78,0.2,0.5,0.33,0.5,0.33,0.34,0.2,0.96,0.02,0.95,0.04,0.92,0.02,0.89,0.04
0.68,0.76,0.11,0.78,0.19,0.52,0.32,0.52,0.32,0.37,0.19,0.95,0.03,0.92,0.05,0.9,0.03,0.86,0.05
0.68,0.78,0.1,0.79,0.18,0.59,0.27,0.56,0.27,0.41,0.18,0.94,0.04,0.93,0.05,0.87,0.04,0.87,0.05
0.68,0.78,0.09,0.8,0.18,0.59,0.26,0.58,0.26,0.41,0.18,0.93,0.05,0.94,0.04,0.85,0.05,0.88,0.04
0.68,0.78,0.09,0.8,0.18,0.59,0.26,0.57,0.26,0.42,0.18,0.93,0.05,0.93,0.05,0.85,0.05,0.87,0.05
