ACC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,TNR_ratio,TNR_diff,FPR_ratio,FPR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.53,0.91,0.04,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.77,0.15,0.0,1.0,0.72,0.15,0.0,1.0
0.64,0.7,0.14,0.66,0.33,0.23,0.47,0.45,0.47,0.07,0.33,0.94,0.04,0.84,0.12,0.89,0.04,0.67,0.12
0.67,0.7,0.13,0.7,0.27,0.48,0.37,0.44,0.37,0.3,0.27,0.97,0.02,0.96,0.02,0.93,0.02,0.93,0.02
0.68,0.73,0.12,0.75,0.21,0.55,0.31,0.49,0.31,0.4,0.21,0.96,0.03,0.91,0.06,0.91,0.03,0.85,0.06
0.68,0.76,0.1,0.79,0.18,0.55,0.3,0.51,0.3,0.44,0.18,0.96,0.03,0.88,0.08,0.91,0.03,0.8,0.08
0.68,0.76,0.1,0.79,0.18,0.56,0.3,0.51,0.3,0.45,0.18,0.96,0.02,0.88,0.08,0.92,0.02,0.79,0.08
0.69,0.76,0.1,0.79,0.18,0.54,0.32,0.5,0.32,0.43,0.18,0.97,0.02,0.89,0.08,0.93,0.02,0.8,0.08
0.68,0.78,0.1,0.8,0.17,0.55,0.29,0.54,0.29,0.41,0.17,0.95,0.04,0.91,0.06,0.89,0.04,0.83,0.06
0.68,0.79,0.09,0.81,0.17,0.58,0.27,0.56,0.27,0.44,0.17,0.94,0.04,0.91,0.06,0.87,0.04,0.83,0.06
0.68,0.81,0.08,0.82,0.15,0.65,0.22,0.62,0.22,0.48,0.15,0.91,0.06,0.92,0.06,0.82,0.06,0.84,0.06
0.67,0.81,0.08,0.81,0.16,0.7,0.19,0.66,0.19,0.47,0.16,0.89,0.08,0.94,0.04,0.78,0.08,0.89,0.04
0.68,0.82,0.08,0.83,0.14,0.7,0.18,0.67,0.18,0.51,0.14,0.9,0.08,0.92,0.05,0.79,0.08,0.85,0.05
0.67,0.82,0.08,0.83,0.15,0.69,0.19,0.67,0.19,0.5,0.15,0.89,0.08,0.92,0.05,0.79,0.08,0.86,0.05
0.68,0.82,0.08,0.83,0.15,0.68,0.2,0.65,0.2,0.49,0.15,0.9,0.07,0.92,0.05,0.8,0.07,0.86,0.05
0.68,0.81,0.08,0.83,0.14,0.7,0.2,0.64,0.2,0.53,0.14,0.91,0.06,0.91,0.06,0.81,0.06,0.83,0.06
