ACC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,TNR_ratio,TNR_diff,FPR_ratio,FPR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.58,0.86,0.07,0.81,0.16,0.46,0.22,0.73,0.22,0.4,0.16,0.83,0.11,0.82,0.11,0.76,0.11,0.79,0.11
0.63,0.78,0.1,0.75,0.23,0.37,0.34,0.57,0.34,0.24,0.23,0.9,0.07,0.95,0.03,0.83,0.07,0.92,0.03
0.66,0.76,0.11,0.75,0.25,0.3,0.4,0.52,0.4,0.11,0.25,0.93,0.05,0.88,0.09,0.88,0.05,0.71,0.09
0.67,0.74,0.12,0.73,0.25,0.33,0.42,0.47,0.42,0.15,0.25,0.96,0.03,0.94,0.04,0.92,0.03,0.86,0.04
0.68,0.72,0.13,0.72,0.26,0.41,0.4,0.45,0.4,0.19,0.26,0.97,0.02,0.95,0.04,0.93,0.02,0.88,0.04
0.69,0.69,0.14,0.7,0.28,0.44,0.4,0.42,0.4,0.2,0.28,0.99,0.01,0.93,0.05,0.97,0.01,0.85,0.05
0.69,0.72,0.13,0.73,0.25,0.43,0.39,0.44,0.39,0.22,0.25,0.98,0.01,0.96,0.03,0.96,0.01,0.92,0.03
0.69,0.75,0.12,0.76,0.22,0.44,0.37,0.48,0.37,0.24,0.22,0.97,0.02,0.99,0.01,0.93,0.02,0.98,0.01
0.68,0.77,0.11,0.78,0.2,0.48,0.33,0.52,0.33,0.3,0.2,0.94,0.04,0.97,0.02,0.89,0.04,0.93,0.02
0.68,0.77,0.1,0.79,0.19,0.51,0.31,0.54,0.31,0.35,0.19,0.94,0.04,0.94,0.04,0.88,0.04,0.88,0.04
0.67,0.79,0.1,0.79,0.19,0.53,0.28,0.58,0.28,0.34,0.19,0.92,0.06,0.97,0.02,0.84,0.06,0.93,0.02
0.67,0.78,0.1,0.79,0.19,0.54,0.29,0.57,0.29,0.37,0.19,0.93,0.05,0.94,0.04,0.85,0.05,0.89,0.04
0.67,0.79,0.09,0.79,0.18,0.54,0.28,0.58,0.28,0.36,0.18,0.92,0.06,0.94,0.04,0.84,0.06,0.89,0.04
0.67,0.78,0.1,0.78,0.19,0.56,0.27,0.58,0.27,0.38,0.19,0.92,0.06,0.94,0.04,0.84,0.06,0.89,0.04
0.68,0.78,0.09,0.78,0.18,0.66,0.23,0.6,0.23,0.44,0.18,0.91,0.06,0.95,0.04,0.82,0.06,0.9,0.04
0.68,0.78,0.1,0.78,0.19,0.64,0.24,0.59,0.24,0.4,0.19,0.91,0.06,0.97,0.02,0.82,0.06,0.94,0.02
0.68,0.77,0.1,0.77,0.2,0.58,0.27,0.56,0.27,0.35,0.2,0.92,0.05,0.98,0.01,0.84,0.05,0.97,0.01
0.68,0.77,0.1,0.78,0.19,0.56,0.28,0.56,0.28,0.37,0.19,0.93,0.05,0.96,0.03,0.86,0.05,0.91,0.03
0.68,0.8,0.08,0.81,0.16,0.68,0.21,0.63,0.21,0.47,0.16,0.9,0.07,0.93,0.05,0.8,0.07,0.88,0.05
0.68,0.78,0.1,0.78,0.19,0.63,0.24,0.59,0.24,0.4,0.19,0.91,0.06,0.97,0.02,0.82,0.06,0.93,0.02
0.69,0.78,0.09,0.79,0.18,0.66,0.23,0.58,0.23,0.46,0.18,0.93,0.05,0.93,0.05,0.84,0.05,0.87,0.05
0.68,0.78,0.1,0.78,0.19,0.62,0.25,0.59,0.25,0.38,0.19,0.92,0.06,0.98,0.01,0.83,0.06,0.96,0.01
0.68,0.77,0.1,0.77,0.2,0.58,0.27,0.56,0.27,0.34,0.2,0.93,0.05,0.99,0.0,0.85,0.05,0.99,0.0
0.68,0.77,0.1,0.77,0.19,0.64,0.25,0.57,0.25,0.41,0.19,0.93,0.05,0.96,0.03,0.84,0.05,0.91,0.03
0.68,0.77,0.1,0.78,0.19,0.55,0.29,0.54,0.29,0.38,0.19,0.94,0.04,0.94,0.04,0.88,0.04,0.89,0.04
