ACC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,TNR_ratio,TNR_diff,FPR_ratio,FPR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.68,0.7,0.14,0.71,0.27,0.31,0.48,0.39,0.48,0.17,0.27,0.99,0.01,0.99,0.01,0.97,0.01,0.97,0.01
0.69,0.68,0.15,0.7,0.28,0.35,0.47,0.37,0.47,0.18,0.28,0.98,0.01,0.98,0.01,0.96,0.01,0.96,0.01
0.69,0.67,0.15,0.69,0.29,0.36,0.48,0.35,0.48,0.2,0.29,0.97,0.02,0.99,0.01,0.92,0.02,0.98,0.01
0.69,0.65,0.16,0.66,0.32,0.4,0.45,0.35,0.45,0.2,0.32,0.98,0.01,0.95,0.03,0.95,0.01,0.91,0.03
0.68,0.64,0.16,0.66,0.31,0.4,0.47,0.32,0.47,0.25,0.31,0.96,0.03,0.96,0.02,0.9,0.03,0.94,0.02
0.68,0.63,0.16,0.65,0.31,0.43,0.45,0.32,0.45,0.26,0.31,0.96,0.03,0.97,0.02,0.92,0.03,0.95,0.02
0.68,0.62,0.17,0.63,0.32,0.46,0.43,0.32,0.43,0.28,0.32,0.97,0.02,0.97,0.02,0.92,0.02,0.95,0.02
0.68,0.6,0.18,0.6,0.34,0.48,0.42,0.3,0.42,0.28,0.34,0.96,0.03,0.99,0.01,0.91,0.03,0.99,0.01
0.67,0.58,0.18,0.59,0.35,0.51,0.4,0.29,0.4,0.31,0.35,0.97,0.02,0.98,0.01,0.91,0.02,0.96,0.01
0.67,0.58,0.17,0.59,0.35,0.56,0.37,0.31,0.37,0.33,0.35,0.98,0.01,0.99,0.01,0.95,0.01,0.98,0.01
