ACC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,TNR_ratio,TNR_diff,FPR_ratio,FPR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff,EQO_ratio,EQO_diff
0.43,0.69,0.07,0.55,0.11,0.91,0.07,0.79,0.07,0.87,0.11,0.92,0.04,0.72,0.13,0.94,0.04,0.79,0.13,0.67,0.09
0.51,0.92,0.03,0.91,0.06,0.57,0.15,0.82,0.15,0.81,0.06,0.83,0.1,0.6,0.21,0.8,0.1,0.7,0.21,0.86,0.1
0.55,0.94,0.03,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.82,0.11,0.0,1.0,0.77,0.11,0.0,1.0,0.0,1.0
0.59,0.9,0.05,0.0,1.0,0.02,0.26,0.74,0.26,0.0,1.0,0.87,0.08,0.0,1.0,0.83,0.08,0.0,1.0,0.37,0.63
0.62,0.85,0.07,0.83,0.16,0.35,0.28,0.67,0.28,0.24,0.16,0.88,0.07,0.95,0.03,0.83,0.07,0.91,0.03,0.75,0.22
0.64,0.82,0.08,0.79,0.19,0.53,0.25,0.66,0.25,0.29,0.19,0.88,0.08,0.97,0.02,0.81,0.08,0.94,0.02,0.73,0.22
0.66,0.8,0.09,0.79,0.18,0.6,0.25,0.61,0.25,0.41,0.18,0.91,0.06,0.95,0.03,0.84,0.06,0.91,0.03,0.7,0.21
0.67,0.8,0.08,0.81,0.16,0.66,0.22,0.63,0.22,0.48,0.16,0.91,0.06,0.94,0.04,0.83,0.06,0.88,0.04,0.72,0.19
0.66,0.82,0.08,0.82,0.15,0.7,0.19,0.67,0.19,0.52,0.15,0.9,0.07,0.92,0.05,0.81,0.07,0.87,0.05,0.74,0.17
0.66,0.83,0.07,0.83,0.14,0.74,0.16,0.71,0.16,0.55,0.14,0.89,0.08,0.93,0.05,0.78,0.08,0.87,0.05,0.77,0.15
0.66,0.85,0.06,0.85,0.13,0.78,0.13,0.76,0.13,0.59,0.13,0.87,0.09,0.92,0.05,0.76,0.09,0.86,0.05,0.8,0.13
0.66,0.85,0.06,0.84,0.13,0.8,0.12,0.78,0.12,0.55,0.13,0.86,0.1,0.95,0.03,0.74,0.1,0.91,0.03,0.81,0.12
0.66,0.85,0.06,0.83,0.14,0.79,0.12,0.77,0.12,0.53,0.14,0.86,0.1,0.96,0.03,0.75,0.1,0.92,0.03,0.8,0.13
0.66,0.85,0.06,0.84,0.13,0.79,0.12,0.77,0.12,0.56,0.13,0.86,0.1,0.94,0.04,0.75,0.1,0.89,0.04,0.8,0.12
0.66,0.87,0.06,0.85,0.12,0.85,0.09,0.82,0.09,0.6,0.12,0.85,0.11,0.94,0.04,0.72,0.11,0.89,0.04,0.83,0.1
0.66,0.86,0.06,0.85,0.12,0.83,0.1,0.8,0.1,0.62,0.12,0.86,0.1,0.92,0.05,0.74,0.1,0.86,0.05,0.82,0.11
0.66,0.85,0.06,0.84,0.13,0.8,0.12,0.77,0.12,0.57,0.13,0.87,0.09,0.94,0.04,0.75,0.09,0.89,0.04,0.8,0.12
0.66,0.84,0.07,0.83,0.14,0.78,0.13,0.76,0.13,0.53,0.14,0.87,0.09,0.95,0.03,0.75,0.09,0.91,0.03,0.79,0.14
0.66,0.84,0.07,0.83,0.14,0.73,0.16,0.73,0.16,0.52,0.14,0.88,0.09,0.94,0.04,0.78,0.09,0.89,0.04,0.78,0.15
0.66,0.83,0.07,0.82,0.15,0.71,0.17,0.7,0.17,0.49,0.15,0.88,0.08,0.95,0.03,0.79,0.08,0.9,0.03,0.76,0.16
0.66,0.82,0.08,0.8,0.17,0.73,0.17,0.69,0.17,0.48,0.17,0.88,0.08,0.96,0.02,0.78,0.08,0.93,0.02,0.74,0.17
0.66,0.8,0.08,0.78,0.18,0.72,0.18,0.67,0.18,0.47,0.18,0.89,0.08,0.97,0.02,0.78,0.08,0.94,0.02,0.73,0.18
0.66,0.8,0.08,0.79,0.18,0.7,0.19,0.66,0.19,0.47,0.18,0.89,0.08,0.96,0.02,0.79,0.08,0.93,0.02,0.73,0.18
0.66,0.81,0.08,0.8,0.16,0.74,0.16,0.69,0.16,0.51,0.16,0.88,0.08,0.95,0.03,0.78,0.08,0.91,0.03,0.74,0.16
0.67,0.83,0.07,0.82,0.15,0.78,0.14,0.74,0.14,0.53,0.15,0.87,0.09,0.95,0.03,0.76,0.09,0.91,0.03,0.78,0.15
