ACC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,TNR_ratio,TNR_diff,FPR_ratio,FPR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff,EQO_ratio,EQO_diff
0.67,0.84,0.07,0.84,0.13,0.75,0.15,0.72,0.15,0.55,0.13,0.89,0.08,0.93,0.05,0.78,0.08,0.87,0.05,0.78,0.14
0.67,0.83,0.07,0.84,0.13,0.72,0.17,0.7,0.17,0.55,0.13,0.9,0.07,0.92,0.05,0.8,0.07,0.85,0.05,0.77,0.15
0.67,0.83,0.07,0.84,0.13,0.71,0.18,0.68,0.18,0.54,0.13,0.9,0.07,0.92,0.06,0.81,0.07,0.85,0.06,0.76,0.15
0.67,0.83,0.07,0.85,0.13,0.71,0.18,0.68,0.18,0.55,0.13,0.91,0.07,0.91,0.06,0.81,0.07,0.84,0.06,0.77,0.15
0.67,0.84,0.07,0.85,0.12,0.72,0.17,0.69,0.17,0.57,0.12,0.9,0.07,0.91,0.06,0.81,0.07,0.83,0.06,0.77,0.15
0.67,0.83,0.07,0.84,0.13,0.72,0.17,0.68,0.17,0.55,0.13,0.9,0.07,0.92,0.06,0.81,0.07,0.85,0.06,0.76,0.15
0.67,0.84,0.07,0.85,0.12,0.72,0.17,0.69,0.17,0.56,0.12,0.9,0.07,0.91,0.06,0.81,0.07,0.83,0.06,0.77,0.15
0.67,0.84,0.07,0.85,0.12,0.72,0.17,0.71,0.17,0.55,0.12,0.9,0.07,0.92,0.05,0.8,0.07,0.85,0.05,0.78,0.15
0.67,0.85,0.06,0.86,0.12,0.73,0.16,0.73,0.16,0.54,0.12,0.89,0.08,0.93,0.05,0.79,0.08,0.86,0.05,0.79,0.14
0.67,0.86,0.06,0.87,0.11,0.74,0.15,0.74,0.15,0.58,0.11,0.89,0.08,0.92,0.06,0.79,0.08,0.84,0.06,0.8,0.13
0.67,0.87,0.06,0.88,0.1,0.75,0.14,0.75,0.14,0.59,0.1,0.89,0.08,0.91,0.06,0.79,0.08,0.83,0.06,0.81,0.12
0.67,0.86,0.06,0.88,0.1,0.73,0.15,0.73,0.15,0.6,0.1,0.89,0.07,0.9,0.07,0.8,0.07,0.81,0.07,0.8,0.12
0.67,0.86,0.06,0.87,0.11,0.75,0.15,0.73,0.15,0.59,0.11,0.89,0.08,0.91,0.06,0.79,0.08,0.83,0.06,0.8,0.13
0.67,0.86,0.06,0.87,0.11,0.77,0.14,0.75,0.14,0.59,0.11,0.89,0.08,0.92,0.06,0.78,0.08,0.84,0.06,0.81,0.12
