ACC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,TNR_ratio,TNR_diff,FPR_ratio,FPR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff,EQO_ratio,EQO_diff
0.67,0.89,0.04,0.88,0.1,0.91,0.05,0.89,0.05,0.67,0.1,0.84,0.11,0.93,0.05,0.7,0.11,0.87,0.05,0.89,0.08
0.66,0.88,0.05,0.88,0.09,0.9,0.06,0.86,0.06,0.7,0.09,0.86,0.11,0.9,0.06,0.71,0.11,0.84,0.06,0.87,0.07
0.66,0.88,0.05,0.88,0.09,0.89,0.07,0.85,0.07,0.72,0.09,0.86,0.1,0.9,0.07,0.72,0.1,0.82,0.07,0.86,0.08
0.67,0.87,0.05,0.88,0.09,0.89,0.07,0.84,0.07,0.72,0.09,0.86,0.1,0.9,0.07,0.72,0.1,0.83,0.07,0.86,0.08
0.67,0.87,0.05,0.87,0.1,0.88,0.08,0.82,0.08,0.71,0.1,0.87,0.1,0.89,0.07,0.73,0.1,0.82,0.07,0.84,0.09
0.67,0.86,0.05,0.86,0.11,0.88,0.08,0.82,0.08,0.68,0.11,0.87,0.1,0.91,0.06,0.72,0.1,0.84,0.06,0.84,0.1
0.66,0.87,0.05,0.86,0.1,0.89,0.07,0.85,0.07,0.69,0.1,0.86,0.11,0.91,0.06,0.71,0.11,0.85,0.06,0.85,0.09
0.67,0.88,0.05,0.88,0.09,0.9,0.06,0.85,0.06,0.71,0.09,0.86,0.1,0.9,0.07,0.72,0.1,0.83,0.07,0.86,0.07
0.67,0.87,0.05,0.88,0.09,0.88,0.07,0.83,0.07,0.71,0.09,0.86,0.1,0.9,0.07,0.73,0.1,0.82,0.07,0.85,0.08
0.67,0.87,0.05,0.88,0.1,0.89,0.07,0.85,0.07,0.7,0.1,0.86,0.1,0.9,0.06,0.72,0.1,0.84,0.06,0.86,0.09
0.66,0.88,0.05,0.88,0.1,0.89,0.07,0.85,0.07,0.7,0.1,0.86,0.1,0.9,0.06,0.72,0.1,0.84,0.06,0.86,0.09
0.66,0.88,0.05,0.88,0.09,0.89,0.07,0.85,0.07,0.7,0.09,0.86,0.1,0.9,0.07,0.72,0.1,0.83,0.07,0.86,0.08
0.67,0.88,0.05,0.88,0.1,0.89,0.07,0.85,0.07,0.7,0.1,0.86,0.11,0.91,0.06,0.71,0.11,0.84,0.06,0.86,0.09
0.67,0.87,0.05,0.87,0.1,0.89,0.07,0.85,0.07,0.67,0.1,0.86,0.11,0.92,0.05,0.71,0.11,0.86,0.05,0.86,0.09
