ACC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,TNR_ratio,TNR_diff,FPR_ratio,FPR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.65,0.84,0.07,0.82,0.16,0.57,0.23,0.68,0.23,0.34,0.16,0.91,0.06,0.98,0.01,0.85,0.06,0.96,0.01
0.68,0.75,0.11,0.75,0.23,0.52,0.32,0.51,0.32,0.27,0.23,0.98,0.02,0.94,0.04,0.95,0.02,0.87,0.04
0.68,0.73,0.12,0.73,0.25,0.47,0.36,0.48,0.36,0.22,0.25,0.99,0.01,0.91,0.07,0.98,0.01,0.79,0.07
0.68,0.73,0.12,0.73,0.24,0.53,0.32,0.49,0.32,0.32,0.24,0.99,0.01,0.98,0.01,0.97,0.01,0.97,0.01
0.68,0.75,0.11,0.76,0.21,0.55,0.31,0.51,0.31,0.36,0.21,0.98,0.01,0.99,0.01,0.96,0.01,0.97,0.01
0.67,0.77,0.1,0.77,0.2,0.59,0.27,0.55,0.27,0.4,0.2,0.97,0.02,0.98,0.01,0.93,0.02,0.96,0.01
0.68,0.78,0.09,0.77,0.2,0.65,0.23,0.59,0.23,0.4,0.2,0.94,0.04,0.99,0.01,0.88,0.04,0.98,0.01
0.67,0.77,0.1,0.76,0.2,0.62,0.26,0.56,0.26,0.4,0.2,0.96,0.03,0.99,0.0,0.91,0.03,0.99,0.0
0.68,0.75,0.11,0.75,0.21,0.61,0.27,0.53,0.27,0.4,0.21,0.97,0.02,0.99,0.01,0.93,0.02,0.98,0.01
0.67,0.76,0.1,0.76,0.2,0.62,0.26,0.55,0.26,0.42,0.2,0.96,0.03,0.98,0.02,0.91,0.03,0.95,0.02
0.67,0.76,0.1,0.76,0.21,0.63,0.25,0.56,0.25,0.4,0.21,0.95,0.03,1.0,0.0,0.9,0.03,1.0,0.0
0.67,0.76,0.1,0.75,0.22,0.62,0.25,0.56,0.25,0.38,0.22,0.95,0.04,0.99,0.01,0.89,0.04,0.97,0.01
0.67,0.79,0.09,0.78,0.19,0.61,0.25,0.58,0.25,0.39,0.19,0.95,0.04,1.0,0.0,0.9,0.04,1.0,0.0
0.68,0.78,0.09,0.78,0.19,0.63,0.25,0.57,0.25,0.43,0.19,0.96,0.03,0.97,0.02,0.91,0.03,0.95,0.02
0.68,0.79,0.09,0.79,0.17,0.68,0.22,0.59,0.22,0.49,0.17,0.95,0.03,0.96,0.03,0.89,0.03,0.92,0.03
0.68,0.78,0.1,0.78,0.19,0.63,0.25,0.57,0.25,0.43,0.19,0.96,0.03,0.98,0.02,0.91,0.03,0.95,0.02
0.68,0.77,0.1,0.77,0.19,0.64,0.25,0.56,0.25,0.45,0.19,0.96,0.03,0.97,0.02,0.91,0.03,0.94,0.02
0.67,0.78,0.09,0.77,0.2,0.64,0.24,0.6,0.24,0.38,0.2,0.94,0.04,0.98,0.01,0.87,0.04,0.96,0.01
0.67,0.78,0.1,0.78,0.19,0.64,0.24,0.58,0.24,0.44,0.19,0.95,0.03,0.98,0.02,0.9,0.03,0.96,0.02
0.68,0.76,0.1,0.76,0.2,0.63,0.25,0.56,0.25,0.41,0.2,0.96,0.03,0.99,0.01,0.91,0.03,0.98,0.01
0.68,0.76,0.1,0.75,0.22,0.61,0.26,0.55,0.26,0.35,0.22,0.95,0.03,0.97,0.02,0.9,0.03,0.94,0.02
0.67,0.78,0.1,0.77,0.2,0.64,0.24,0.58,0.24,0.42,0.2,0.95,0.04,0.99,0.01,0.89,0.04,0.98,0.01
0.68,0.78,0.09,0.78,0.18,0.64,0.24,0.57,0.24,0.45,0.18,0.96,0.03,0.96,0.02,0.91,0.03,0.93,0.02
0.68,0.78,0.09,0.78,0.19,0.65,0.24,0.58,0.24,0.43,0.19,0.95,0.04,0.99,0.01,0.89,0.04,0.98,0.01
