ACC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,TNR_ratio,TNR_diff,FPR_ratio,FPR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff,EQO_ratio,EQO_diff
0.6,0.59,0.16,0.48,0.4,0.59,0.34,0.35,0.34,0.36,0.4,0.78,0.17,0.67,0.23,0.59,0.17,0.59,0.23,0.41,0.37
0.64,0.87,0.05,0.8,0.16,0.75,0.16,0.68,0.16,0.58,0.16,0.82,0.13,0.76,0.17,0.66,0.13,0.65,0.17,0.74,0.16
0.65,0.93,0.03,0.86,0.1,0.87,0.09,0.79,0.09,0.74,0.1,0.85,0.11,0.78,0.15,0.69,0.11,0.69,0.15,0.82,0.1
0.66,0.94,0.02,0.98,0.02,0.91,0.05,0.9,0.05,0.93,0.02,0.88,0.08,0.84,0.11,0.78,0.08,0.74,0.11,0.94,0.04
0.67,0.88,0.05,0.91,0.07,0.87,0.08,0.81,0.08,0.78,0.07,0.9,0.07,0.88,0.08,0.79,0.07,0.81,0.08,0.86,0.08
0.67,0.87,0.05,0.89,0.08,0.82,0.11,0.77,0.11,0.72,0.08,0.91,0.07,0.89,0.08,0.81,0.07,0.81,0.08,0.83,0.1
0.67,0.84,0.07,0.85,0.13,0.76,0.15,0.71,0.15,0.58,0.13,0.92,0.06,0.94,0.04,0.83,0.06,0.89,0.04,0.78,0.14
0.67,0.84,0.07,0.85,0.12,0.77,0.14,0.71,0.14,0.6,0.12,0.92,0.06,0.93,0.05,0.82,0.06,0.88,0.05,0.78,0.13
0.67,0.85,0.06,0.86,0.11,0.8,0.13,0.72,0.13,0.66,0.11,0.92,0.06,0.91,0.06,0.82,0.06,0.84,0.06,0.79,0.12
0.67,0.84,0.07,0.84,0.13,0.78,0.14,0.72,0.14,0.59,0.13,0.91,0.06,0.94,0.04,0.81,0.06,0.9,0.04,0.78,0.14
0.67,0.85,0.06,0.87,0.1,0.81,0.12,0.74,0.12,0.66,0.1,0.91,0.06,0.92,0.06,0.81,0.06,0.85,0.06,0.8,0.11
