ACC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,TNR_ratio,TNR_diff,FPR_ratio,FPR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.62,0.95,0.02,0.97,0.02,0.84,0.07,0.89,0.07,0.89,0.02,0.87,0.09,0.82,0.12,0.79,0.09,0.73,0.12
0.64,0.88,0.05,0.89,0.09,0.81,0.11,0.8,0.11,0.72,0.09,0.89,0.08,0.88,0.08,0.8,0.08,0.82,0.08
0.67,0.84,0.07,0.85,0.13,0.72,0.17,0.7,0.17,0.54,0.13,0.92,0.06,0.94,0.04,0.84,0.06,0.89,0.04
0.66,0.85,0.06,0.88,0.09,0.76,0.16,0.7,0.16,0.71,0.09,0.93,0.05,0.87,0.09,0.86,0.05,0.78,0.09
0.67,0.84,0.07,0.85,0.12,0.75,0.16,0.69,0.16,0.62,0.12,0.93,0.05,0.91,0.06,0.85,0.05,0.85,0.06
0.68,0.85,0.06,0.88,0.1,0.77,0.15,0.69,0.15,0.68,0.1,0.93,0.05,0.89,0.08,0.86,0.05,0.81,0.08
0.68,0.85,0.06,0.87,0.1,0.77,0.15,0.7,0.15,0.67,0.1,0.93,0.05,0.89,0.07,0.85,0.05,0.81,0.07
0.67,0.85,0.06,0.89,0.08,0.76,0.16,0.68,0.16,0.73,0.08,0.94,0.04,0.86,0.1,0.88,0.04,0.77,0.1
0.67,0.85,0.06,0.88,0.09,0.78,0.15,0.69,0.15,0.73,0.09,0.94,0.05,0.87,0.09,0.86,0.05,0.78,0.09
0.67,0.86,0.05,0.89,0.09,0.83,0.11,0.76,0.11,0.73,0.09,0.91,0.06,0.89,0.07,0.81,0.06,0.82,0.07
0.67,0.86,0.05,0.88,0.09,0.82,0.12,0.75,0.12,0.72,0.09,0.92,0.06,0.89,0.07,0.82,0.06,0.81,0.07
0.67,0.86,0.05,0.88,0.09,0.83,0.11,0.76,0.11,0.72,0.09,0.91,0.07,0.89,0.07,0.81,0.07,0.82,0.07
0.66,0.88,0.05,0.9,0.08,0.85,0.09,0.81,0.09,0.73,0.08,0.9,0.08,0.9,0.07,0.79,0.08,0.82,0.07
