ACC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,TNR_ratio,TNR_diff,FPR_ratio,FPR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.66,0.73,0.13,0.71,0.27,0.39,0.4,0.46,0.4,0.23,0.27,1.0,0.0,0.97,0.02,1.0,0.0,0.94,0.02
0.66,0.68,0.15,0.65,0.32,0.36,0.44,0.41,0.44,0.18,0.32,0.99,0.01,0.91,0.06,0.98,0.01,0.85,0.06
0.66,0.7,0.14,0.68,0.31,0.27,0.49,0.4,0.49,0.14,0.31,0.97,0.02,0.94,0.04,0.94,0.02,0.89,0.04
0.66,0.7,0.14,0.68,0.3,0.35,0.44,0.42,0.44,0.18,0.3,0.99,0.01,0.93,0.05,0.97,0.01,0.87,0.05
0.67,0.71,0.13,0.7,0.28,0.32,0.45,0.43,0.45,0.16,0.28,0.98,0.01,0.93,0.05,0.96,0.01,0.85,0.05
0.68,0.74,0.12,0.73,0.25,0.39,0.4,0.47,0.4,0.19,0.25,0.99,0.0,0.92,0.06,0.99,0.0,0.83,0.06
0.68,0.74,0.12,0.73,0.25,0.39,0.41,0.45,0.41,0.19,0.25,0.99,0.01,0.92,0.06,0.97,0.01,0.83,0.06
0.68,0.77,0.11,0.76,0.22,0.41,0.37,0.5,0.37,0.21,0.22,0.99,0.01,0.93,0.05,0.98,0.01,0.84,0.05
0.67,0.8,0.09,0.8,0.19,0.4,0.34,0.56,0.34,0.21,0.19,0.97,0.02,0.94,0.04,0.94,0.02,0.87,0.04
0.68,0.78,0.1,0.79,0.18,0.53,0.31,0.53,0.31,0.39,0.18,0.99,0.01,0.96,0.03,0.98,0.01,0.92,0.03
0.68,0.79,0.09,0.79,0.19,0.55,0.29,0.56,0.29,0.36,0.19,0.97,0.02,0.99,0.0,0.94,0.02,0.99,0.0
0.67,0.81,0.09,0.8,0.18,0.49,0.29,0.59,0.29,0.32,0.18,0.96,0.03,1.0,0.0,0.92,0.03,0.99,0.0
0.68,0.76,0.1,0.78,0.19,0.57,0.3,0.51,0.3,0.43,0.19,1.0,0.0,0.94,0.04,0.99,0.0,0.9,0.04
0.68,0.79,0.09,0.79,0.19,0.54,0.29,0.56,0.29,0.36,0.19,0.97,0.02,0.99,0.01,0.94,0.02,0.98,0.01
0.68,0.78,0.09,0.79,0.18,0.64,0.25,0.55,0.25,0.48,0.18,0.98,0.02,0.95,0.03,0.94,0.02,0.92,0.03
0.68,0.79,0.09,0.79,0.2,0.52,0.3,0.56,0.3,0.31,0.2,0.97,0.02,0.97,0.02,0.93,0.02,0.95,0.02
0.68,0.78,0.1,0.78,0.21,0.47,0.33,0.54,0.33,0.27,0.21,0.98,0.01,0.96,0.03,0.96,0.01,0.92,0.03
0.68,0.79,0.1,0.79,0.2,0.49,0.31,0.55,0.31,0.29,0.2,0.97,0.02,0.97,0.02,0.94,0.02,0.94,0.02
0.68,0.78,0.1,0.77,0.21,0.53,0.3,0.54,0.3,0.29,0.21,0.97,0.02,0.95,0.03,0.94,0.02,0.9,0.03
0.68,0.77,0.1,0.78,0.18,0.57,0.29,0.52,0.29,0.43,0.18,0.99,0.01,0.94,0.04,0.98,0.01,0.9,0.04
0.68,0.77,0.1,0.76,0.22,0.52,0.31,0.54,0.31,0.25,0.22,0.97,0.02,0.92,0.06,0.94,0.02,0.82,0.06
0.67,0.81,0.09,0.81,0.18,0.48,0.3,0.58,0.3,0.3,0.18,0.96,0.02,0.99,0.01,0.93,0.02,0.97,0.01
0.68,0.78,0.1,0.78,0.21,0.47,0.33,0.54,0.33,0.27,0.21,0.98,0.01,0.96,0.03,0.96,0.01,0.91,0.03
0.68,0.78,0.1,0.79,0.18,0.56,0.29,0.55,0.29,0.41,0.18,0.98,0.01,0.96,0.03,0.95,0.01,0.92,0.03
0.68,0.81,0.09,0.81,0.17,0.49,0.3,0.57,0.3,0.31,0.17,0.97,0.02,1.0,0.0,0.94,0.02,0.99,0.0
0.68,0.8,0.09,0.8,0.18,0.47,0.32,0.56,0.32,0.29,0.18,0.98,0.02,0.98,0.01,0.95,0.02,0.96,0.01
0.68,0.8,0.09,0.8,0.19,0.47,0.32,0.56,0.32,0.26,0.19,0.98,0.02,0.96,0.03,0.95,0.02,0.91,0.03
0.69,0.8,0.09,0.8,0.18,0.56,0.28,0.57,0.28,0.34,0.18,0.97,0.02,0.98,0.01,0.93,0.02,0.96,0.01
0.68,0.8,0.09,0.81,0.16,0.64,0.24,0.58,0.24,0.48,0.16,0.97,0.02,0.95,0.03,0.92,0.02,0.91,0.03
0.68,0.8,0.09,0.81,0.17,0.57,0.27,0.59,0.27,0.37,0.17,0.96,0.03,1.0,0.0,0.92,0.03,1.0,0.0
0.68,0.8,0.09,0.81,0.17,0.59,0.26,0.58,0.26,0.43,0.17,0.97,0.02,0.96,0.02,0.93,0.02,0.93,0.02
0.68,0.78,0.1,0.78,0.2,0.55,0.29,0.54,0.29,0.36,0.2,0.98,0.02,0.99,0.0,0.95,0.02,0.99,0.0
0.68,0.76,0.11,0.76,0.21,0.55,0.3,0.51,0.3,0.38,0.21,0.99,0.01,0.98,0.01,0.97,0.01,0.97,0.01
0.68,0.76,0.1,0.76,0.21,0.56,0.29,0.53,0.29,0.36,0.21,0.97,0.02,0.99,0.0,0.94,0.02,0.99,0.0
0.68,0.78,0.1,0.77,0.21,0.54,0.29,0.56,0.29,0.31,0.21,0.96,0.02,0.96,0.02,0.92,0.02,0.93,0.02
0.68,0.8,0.09,0.8,0.18,0.46,0.32,0.55,0.32,0.28,0.18,0.98,0.01,0.98,0.01,0.96,0.01,0.96,0.01
0.68,0.79,0.1,0.79,0.19,0.46,0.33,0.55,0.33,0.26,0.19,0.98,0.01,0.96,0.03,0.96,0.01,0.91,0.03
0.68,0.8,0.09,0.8,0.18,0.52,0.3,0.57,0.3,0.3,0.18,0.97,0.02,0.97,0.02,0.94,0.02,0.93,0.02
0.68,0.81,0.09,0.81,0.17,0.47,0.31,0.58,0.31,0.28,0.17,0.97,0.02,0.98,0.02,0.94,0.02,0.94,0.02
0.68,0.8,0.09,0.8,0.18,0.55,0.28,0.58,0.28,0.33,0.18,0.97,0.02,0.98,0.02,0.93,0.02,0.95,0.02
0.69,0.84,0.07,0.86,0.12,0.7,0.19,0.65,0.19,0.54,0.12,0.95,0.03,0.94,0.04,0.89,0.03,0.88,0.04
0.69,0.83,0.07,0.85,0.13,0.65,0.22,0.62,0.22,0.5,0.13,0.96,0.03,0.94,0.04,0.91,0.03,0.88,0.04
0.69,0.79,0.09,0.78,0.18,0.72,0.2,0.61,0.2,0.46,0.18,0.95,0.04,0.99,0.0,0.88,0.04,0.99,0.0
0.68,0.79,0.09,0.79,0.19,0.56,0.28,0.57,0.28,0.34,0.19,0.97,0.02,0.98,0.01,0.93,0.02,0.96,0.01
0.68,0.8,0.09,0.81,0.18,0.47,0.32,0.56,0.32,0.29,0.18,0.98,0.01,0.98,0.01,0.96,0.01,0.95,0.01
0.69,0.77,0.1,0.78,0.2,0.53,0.31,0.52,0.31,0.32,0.2,0.99,0.01,0.98,0.01,0.98,0.01,0.95,0.01
0.68,0.77,0.1,0.77,0.2,0.57,0.29,0.52,0.29,0.37,0.2,0.99,0.01,1.0,0.0,0.97,0.01,1.0,0.0
0.68,0.79,0.09,0.79,0.19,0.53,0.29,0.56,0.29,0.32,0.19,0.97,0.02,0.98,0.01,0.93,0.02,0.96,0.01
0.68,0.79,0.09,0.79,0.19,0.56,0.28,0.56,0.28,0.34,0.19,0.97,0.02,0.98,0.02,0.93,0.02,0.95,0.02
0.68,0.78,0.1,0.78,0.2,0.5,0.31,0.55,0.31,0.28,0.2,0.97,0.02,0.96,0.03,0.95,0.02,0.91,0.03
