ACC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,TNR_ratio,TNR_diff,FPR_ratio,FPR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff,EQO_ratio,EQO_diff
0.55,0.53,0.21,0.34,0.59,0.41,0.4,0.45,0.4,0.16,0.59,0.93,0.04,0.53,0.33,0.91,0.04,0.48,0.33,0.4,0.49
0.61,0.95,0.03,0.98,0.02,0.27,0.16,0.83,0.16,0.45,0.02,0.9,0.06,0.78,0.18,0.85,0.06,0.49,0.18,0.91,0.09
0.62,0.93,0.03,0.97,0.03,0.18,0.21,0.78,0.21,0.39,0.03,0.92,0.05,0.71,0.24,0.87,0.05,0.43,0.24,0.88,0.12
0.64,0.89,0.05,0.92,0.08,0.2,0.28,0.69,0.28,0.26,0.08,0.94,0.04,0.8,0.15,0.91,0.04,0.62,0.15,0.8,0.18
0.64,0.87,0.06,0.88,0.11,0.22,0.3,0.67,0.3,0.2,0.11,0.94,0.04,0.91,0.07,0.91,0.04,0.81,0.07,0.78,0.2
0.65,0.85,0.07,0.86,0.13,0.25,0.33,0.63,0.33,0.19,0.13,0.96,0.03,0.95,0.04,0.93,0.03,0.89,0.04,0.74,0.23
0.65,0.82,0.08,0.83,0.17,0.3,0.35,0.59,0.35,0.21,0.17,0.97,0.02,0.98,0.01,0.94,0.02,0.96,0.01,0.71,0.26
0.66,0.81,0.09,0.81,0.18,0.33,0.36,0.56,0.36,0.22,0.18,0.98,0.01,0.99,0.01,0.96,0.01,0.97,0.01,0.69,0.27
0.67,0.79,0.1,0.8,0.19,0.34,0.38,0.53,0.38,0.21,0.19,0.99,0.01,0.99,0.01,0.98,0.01,0.98,0.01,0.67,0.29
0.67,0.79,0.1,0.8,0.19,0.32,0.39,0.52,0.39,0.21,0.19,1.0,0.0,1.0,0.0,0.99,0.0,0.99,0.0,0.66,0.29
0.67,0.78,0.1,0.78,0.2,0.38,0.37,0.51,0.37,0.25,0.2,0.99,0.0,1.0,0.0,0.99,0.0,1.0,0.0,0.65,0.29
0.67,0.78,0.1,0.78,0.21,0.44,0.34,0.53,0.34,0.25,0.21,0.98,0.01,0.96,0.03,0.96,0.01,0.91,0.03,0.66,0.28
0.68,0.78,0.1,0.77,0.21,0.45,0.34,0.53,0.34,0.24,0.21,0.98,0.01,0.95,0.04,0.97,0.01,0.88,0.04,0.65,0.28
0.68,0.77,0.11,0.77,0.22,0.44,0.36,0.5,0.36,0.25,0.22,1.0,0.0,0.96,0.03,0.99,0.0,0.91,0.03,0.64,0.29
0.68,0.76,0.11,0.76,0.22,0.43,0.37,0.48,0.37,0.24,0.22,0.99,0.0,0.96,0.03,0.99,0.0,0.92,0.03,0.62,0.29
0.68,0.76,0.11,0.76,0.22,0.43,0.37,0.49,0.37,0.24,0.22,1.0,0.0,0.96,0.03,0.99,0.0,0.91,0.03,0.62,0.29
0.68,0.77,0.1,0.78,0.21,0.42,0.36,0.51,0.36,0.26,0.21,1.0,0.0,0.98,0.01,0.99,0.0,0.95,0.01,0.65,0.28
0.68,0.77,0.11,0.76,0.22,0.46,0.35,0.51,0.35,0.25,0.22,0.99,0.01,0.94,0.04,0.98,0.01,0.88,0.04,0.64,0.28
0.68,0.77,0.1,0.77,0.21,0.45,0.35,0.52,0.35,0.26,0.21,0.99,0.01,0.97,0.02,0.98,0.01,0.93,0.02,0.65,0.28
0.68,0.77,0.1,0.77,0.21,0.45,0.35,0.51,0.35,0.27,0.21,0.99,0.01,0.98,0.01,0.98,0.01,0.96,0.01,0.64,0.28
0.67,0.77,0.1,0.77,0.21,0.46,0.34,0.52,0.34,0.27,0.21,0.98,0.01,0.97,0.02,0.97,0.01,0.94,0.02,0.65,0.28
0.67,0.77,0.1,0.77,0.21,0.44,0.35,0.52,0.35,0.28,0.21,0.99,0.01,1.0,0.0,0.98,0.01,0.99,0.0,0.65,0.28
0.67,0.78,0.1,0.78,0.21,0.44,0.34,0.54,0.34,0.26,0.21,0.98,0.02,0.97,0.02,0.95,0.02,0.93,0.02,0.66,0.28
0.67,0.79,0.1,0.78,0.21,0.43,0.34,0.55,0.34,0.23,0.21,0.97,0.02,0.95,0.04,0.94,0.02,0.89,0.04,0.67,0.28
0.67,0.78,0.1,0.77,0.21,0.45,0.34,0.53,0.34,0.27,0.21,0.98,0.01,0.98,0.01,0.96,0.01,0.96,0.01,0.65,0.28
0.67,0.79,0.1,0.78,0.2,0.44,0.33,0.55,0.33,0.26,0.2,0.97,0.02,0.97,0.02,0.95,0.02,0.94,0.02,0.67,0.27
0.67,0.78,0.1,0.77,0.21,0.46,0.33,0.54,0.33,0.27,0.21,0.97,0.02,0.97,0.02,0.95,0.02,0.94,0.02,0.66,0.27
0.68,0.79,0.1,0.78,0.2,0.52,0.3,0.56,0.3,0.32,0.2,0.97,0.02,0.98,0.01,0.94,0.02,0.96,0.01,0.67,0.25
0.67,0.79,0.09,0.79,0.19,0.52,0.3,0.57,0.3,0.32,0.19,0.97,0.02,0.99,0.01,0.93,0.02,0.98,0.01,0.68,0.24
0.67,0.8,0.09,0.79,0.19,0.54,0.28,0.58,0.28,0.34,0.19,0.96,0.03,0.99,0.01,0.92,0.03,0.98,0.01,0.69,0.24
0.67,0.81,0.09,0.79,0.19,0.55,0.27,0.61,0.27,0.33,0.19,0.95,0.04,0.97,0.02,0.89,0.04,0.95,0.02,0.7,0.23
