ACC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,TNR_ratio,TNR_diff,FPR_ratio,FPR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.65,0.68,0.15,0.64,0.33,0.34,0.45,0.41,0.45,0.19,0.33,0.99,0.0,0.96,0.03,0.99,0.0,0.93,0.03
0.66,0.68,0.15,0.66,0.33,0.33,0.47,0.4,0.47,0.15,0.33,0.98,0.01,0.88,0.08,0.96,0.01,0.78,0.08
0.66,0.73,0.13,0.71,0.28,0.24,0.48,0.43,0.48,0.11,0.28,0.98,0.01,0.91,0.07,0.96,0.01,0.81,0.07
0.66,0.69,0.14,0.66,0.32,0.35,0.44,0.42,0.44,0.15,0.32,1.0,0.0,0.87,0.09,0.99,0.0,0.75,0.09
0.66,0.71,0.14,0.69,0.3,0.27,0.48,0.41,0.48,0.13,0.3,0.97,0.02,0.9,0.07,0.95,0.02,0.81,0.07
0.67,0.73,0.13,0.71,0.28,0.35,0.42,0.45,0.42,0.16,0.28,1.0,0.0,0.89,0.08,0.99,0.0,0.78,0.08
0.67,0.73,0.13,0.72,0.27,0.36,0.42,0.46,0.42,0.16,0.27,1.0,0.0,0.89,0.08,0.99,0.0,0.78,0.08
0.67,0.74,0.12,0.73,0.25,0.36,0.42,0.46,0.42,0.19,0.25,0.99,0.01,0.94,0.04,0.98,0.01,0.88,0.04
0.66,0.77,0.11,0.76,0.23,0.32,0.4,0.5,0.4,0.17,0.23,0.99,0.01,0.94,0.04,0.98,0.01,0.87,0.04
0.68,0.74,0.11,0.75,0.23,0.49,0.35,0.47,0.35,0.32,0.23,1.0,0.0,1.0,0.0,0.99,0.0,1.0,0.0
0.68,0.77,0.1,0.78,0.2,0.51,0.32,0.52,0.32,0.35,0.2,0.99,0.01,0.98,0.01,0.98,0.01,0.96,0.01
0.67,0.79,0.1,0.78,0.2,0.44,0.33,0.55,0.33,0.27,0.2,0.97,0.02,0.98,0.01,0.94,0.02,0.96,0.01
0.68,0.76,0.1,0.77,0.2,0.57,0.3,0.51,0.3,0.42,0.2,0.99,0.01,0.95,0.03,0.98,0.01,0.92,0.03
0.68,0.78,0.1,0.79,0.19,0.53,0.3,0.54,0.3,0.37,0.19,0.98,0.01,0.97,0.02,0.96,0.01,0.95,0.02
0.68,0.78,0.09,0.79,0.17,0.66,0.24,0.56,0.24,0.5,0.17,0.97,0.02,0.94,0.04,0.93,0.02,0.9,0.04
0.68,0.79,0.1,0.79,0.19,0.52,0.3,0.55,0.3,0.34,0.19,0.98,0.02,1.0,0.0,0.95,0.02,0.99,0.0
0.68,0.79,0.1,0.78,0.2,0.51,0.31,0.55,0.31,0.32,0.2,0.97,0.02,0.99,0.01,0.95,0.02,0.97,0.01
0.67,0.79,0.1,0.78,0.2,0.52,0.3,0.56,0.3,0.3,0.2,0.96,0.02,0.97,0.02,0.93,0.02,0.94,0.02
0.68,0.78,0.1,0.79,0.19,0.52,0.31,0.53,0.31,0.36,0.19,0.98,0.01,0.98,0.01,0.97,0.01,0.96,0.01
0.67,0.76,0.1,0.77,0.2,0.56,0.3,0.51,0.3,0.42,0.2,0.99,0.01,0.95,0.03,0.98,0.01,0.92,0.03
0.67,0.75,0.11,0.75,0.22,0.48,0.35,0.49,0.35,0.31,0.22,1.0,0.0,1.0,0.0,0.99,0.0,0.99,0.0
0.67,0.8,0.09,0.8,0.18,0.48,0.31,0.56,0.31,0.3,0.18,0.97,0.02,0.99,0.0,0.95,0.02,0.99,0.0
0.68,0.77,0.1,0.77,0.21,0.45,0.34,0.52,0.34,0.25,0.21,0.99,0.01,0.95,0.03,0.97,0.01,0.9,0.03
0.68,0.76,0.1,0.76,0.21,0.56,0.3,0.52,0.3,0.37,0.21,0.98,0.01,0.99,0.01,0.96,0.01,0.98,0.01
0.67,0.79,0.1,0.78,0.2,0.47,0.33,0.54,0.33,0.27,0.2,0.98,0.02,0.97,0.02,0.95,0.02,0.93,0.02
0.67,0.78,0.1,0.78,0.2,0.45,0.34,0.53,0.34,0.28,0.2,0.99,0.01,0.99,0.01,0.97,0.01,0.98,0.01
0.67,0.78,0.1,0.78,0.2,0.45,0.34,0.53,0.34,0.28,0.2,0.98,0.01,0.99,0.01,0.97,0.01,0.98,0.01
0.68,0.79,0.09,0.78,0.2,0.56,0.28,0.57,0.28,0.33,0.2,0.96,0.03,0.97,0.02,0.92,0.03,0.93,0.02
0.68,0.79,0.09,0.79,0.18,0.65,0.24,0.58,0.24,0.46,0.18,0.96,0.03,0.96,0.02,0.92,0.03,0.93,0.02
0.68,0.8,0.09,0.81,0.17,0.59,0.26,0.59,0.26,0.42,0.17,0.96,0.02,0.96,0.02,0.92,0.02,0.93,0.02
0.68,0.79,0.09,0.8,0.18,0.58,0.27,0.57,0.27,0.43,0.18,0.97,0.02,0.96,0.03,0.94,0.02,0.92,0.03
0.68,0.77,0.1,0.77,0.2,0.57,0.29,0.54,0.29,0.38,0.2,0.98,0.02,0.99,0.01,0.95,0.02,0.98,0.01
0.68,0.76,0.1,0.76,0.21,0.61,0.27,0.54,0.27,0.38,0.21,0.97,0.02,0.99,0.01,0.93,0.02,0.98,0.01
0.68,0.77,0.1,0.76,0.21,0.57,0.29,0.53,0.29,0.37,0.21,0.98,0.02,1.0,0.0,0.95,0.02,0.99,0.0
0.68,0.77,0.1,0.77,0.21,0.54,0.3,0.53,0.3,0.34,0.21,0.98,0.02,0.99,0.01,0.95,0.02,0.98,0.01
0.68,0.79,0.1,0.78,0.2,0.48,0.32,0.55,0.32,0.26,0.2,0.98,0.02,0.95,0.04,0.95,0.02,0.89,0.04
0.68,0.78,0.1,0.78,0.2,0.46,0.33,0.54,0.33,0.27,0.2,0.98,0.01,0.97,0.02,0.96,0.01,0.94,0.02
0.68,0.79,0.1,0.79,0.19,0.48,0.32,0.55,0.32,0.3,0.19,0.98,0.01,0.99,0.01,0.96,0.01,0.98,0.01
0.68,0.79,0.1,0.8,0.19,0.45,0.34,0.54,0.34,0.27,0.19,0.99,0.01,0.98,0.01,0.97,0.01,0.96,0.01
0.68,0.8,0.09,0.79,0.19,0.57,0.27,0.58,0.27,0.32,0.19,0.96,0.03,0.96,0.03,0.91,0.03,0.91,0.03
0.68,0.83,0.07,0.85,0.13,0.68,0.21,0.63,0.21,0.55,0.13,0.96,0.03,0.92,0.05,0.9,0.03,0.86,0.05
0.68,0.82,0.08,0.83,0.15,0.68,0.2,0.64,0.2,0.49,0.15,0.95,0.04,0.96,0.03,0.88,0.04,0.93,0.03
0.68,0.78,0.09,0.79,0.17,0.7,0.21,0.58,0.21,0.51,0.17,0.96,0.03,0.96,0.03,0.91,0.03,0.93,0.03
0.68,0.79,0.09,0.78,0.19,0.59,0.27,0.57,0.27,0.37,0.19,0.96,0.03,0.99,0.0,0.92,0.03,0.99,0.0
0.68,0.8,0.09,0.8,0.18,0.5,0.31,0.56,0.31,0.29,0.18,0.98,0.02,0.97,0.02,0.95,0.02,0.93,0.02
0.68,0.76,0.11,0.76,0.22,0.54,0.31,0.52,0.31,0.31,0.22,0.98,0.01,0.97,0.02,0.96,0.01,0.93,0.02
0.68,0.76,0.1,0.76,0.21,0.58,0.29,0.53,0.29,0.39,0.21,0.98,0.01,0.99,0.01,0.96,0.01,0.98,0.01
0.68,0.78,0.1,0.77,0.21,0.52,0.3,0.54,0.3,0.3,0.21,0.97,0.02,0.97,0.02,0.94,0.02,0.93,0.02
0.68,0.77,0.1,0.77,0.21,0.54,0.31,0.52,0.31,0.33,0.21,0.98,0.01,0.99,0.01,0.97,0.01,0.97,0.01
0.68,0.78,0.1,0.77,0.21,0.51,0.31,0.55,0.31,0.27,0.21,0.97,0.02,0.94,0.04,0.94,0.02,0.87,0.04
