ACC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,TNR_ratio,TNR_diff,FPR_ratio,FPR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.48,0.6,0.18,0.43,0.45,0.3,0.42,0.49,0.42,0.31,0.45,0.87,0.08,0.78,0.1,0.84,0.08,0.85,0.1
0.64,0.76,0.11,0.75,0.24,0.18,0.46,0.49,0.46,0.13,0.24,1.0,0.0,0.96,0.03,0.99,0.0,0.93,0.03
0.65,0.73,0.13,0.72,0.27,0.11,0.54,0.42,0.54,0.08,0.27,0.96,0.03,0.95,0.03,0.93,0.03,0.91,0.03
0.65,0.7,0.15,0.69,0.3,0.13,0.57,0.38,0.57,0.09,0.3,0.95,0.04,0.96,0.02,0.9,0.04,0.94,0.02
0.66,0.69,0.15,0.68,0.31,0.18,0.55,0.38,0.55,0.09,0.31,0.95,0.03,0.93,0.05,0.91,0.03,0.86,0.05
0.67,0.72,0.13,0.71,0.28,0.3,0.46,0.44,0.46,0.13,0.28,0.98,0.01,0.9,0.08,0.97,0.01,0.79,0.08
0.67,0.77,0.1,0.76,0.22,0.44,0.34,0.53,0.34,0.25,0.22,0.98,0.01,0.95,0.03,0.96,0.01,0.9,0.03
0.66,0.83,0.07,0.83,0.15,0.63,0.22,0.65,0.22,0.48,0.15,0.94,0.04,0.94,0.04,0.88,0.04,0.9,0.04
0.65,0.95,0.02,0.97,0.02,0.93,0.04,0.93,0.04,0.92,0.02,0.88,0.09,0.85,0.1,0.77,0.09,0.77,0.1
0.63,0.89,0.04,0.81,0.15,0.8,0.12,0.75,0.12,0.62,0.15,0.85,0.11,0.75,0.17,0.71,0.11,0.67,0.17
0.63,0.85,0.06,0.74,0.2,0.8,0.13,0.74,0.13,0.54,0.2,0.87,0.09,0.7,0.2,0.74,0.09,0.62,0.2
0.64,0.96,0.02,0.91,0.07,0.87,0.07,0.86,0.07,0.76,0.07,0.85,0.11,0.8,0.14,0.71,0.11,0.71,0.14
0.66,0.9,0.04,0.91,0.07,0.83,0.1,0.82,0.1,0.73,0.07,0.9,0.07,0.89,0.07,0.8,0.07,0.83,0.07
0.67,0.84,0.07,0.84,0.14,0.68,0.19,0.67,0.19,0.51,0.14,0.94,0.05,0.95,0.03,0.87,0.05,0.91,0.03
0.67,0.8,0.09,0.8,0.17,0.63,0.24,0.6,0.24,0.44,0.17,0.95,0.03,0.97,0.02,0.9,0.03,0.95,0.02
0.67,0.78,0.1,0.78,0.2,0.49,0.31,0.55,0.31,0.29,0.2,0.97,0.02,0.97,0.02,0.94,0.02,0.93,0.02
0.66,0.8,0.09,0.8,0.19,0.38,0.34,0.56,0.34,0.23,0.19,0.97,0.02,0.98,0.02,0.95,0.02,0.95,0.02
0.66,0.82,0.09,0.82,0.17,0.32,0.35,0.58,0.35,0.23,0.17,0.97,0.02,0.96,0.03,0.95,0.02,0.92,0.03
0.66,0.83,0.08,0.83,0.16,0.35,0.33,0.6,0.33,0.24,0.16,0.96,0.03,0.98,0.01,0.93,0.03,0.97,0.01
0.66,0.82,0.08,0.82,0.17,0.37,0.33,0.59,0.33,0.25,0.17,0.97,0.02,0.98,0.01,0.94,0.02,0.97,0.01
0.66,0.83,0.08,0.83,0.16,0.37,0.32,0.6,0.32,0.26,0.16,0.96,0.03,0.98,0.01,0.93,0.03,0.96,0.01
0.66,0.85,0.07,0.86,0.13,0.39,0.3,0.63,0.3,0.3,0.13,0.96,0.03,0.95,0.03,0.92,0.03,0.89,0.03
0.67,0.85,0.07,0.87,0.13,0.44,0.28,0.64,0.28,0.32,0.13,0.95,0.03,0.96,0.03,0.92,0.03,0.92,0.03
0.67,0.86,0.07,0.86,0.13,0.52,0.24,0.67,0.24,0.36,0.13,0.94,0.04,0.98,0.01,0.89,0.04,0.95,0.01
0.66,0.87,0.06,0.89,0.1,0.53,0.23,0.69,0.23,0.46,0.1,0.94,0.04,0.9,0.07,0.89,0.04,0.81,0.07
0.66,0.87,0.06,0.89,0.1,0.53,0.23,0.69,0.23,0.5,0.1,0.94,0.04,0.88,0.08,0.89,0.04,0.78,0.08
0.66,0.88,0.06,0.91,0.08,0.52,0.24,0.68,0.24,0.55,0.08,0.95,0.03,0.85,0.11,0.9,0.03,0.72,0.11
0.67,0.89,0.05,0.91,0.08,0.72,0.15,0.76,0.15,0.63,0.08,0.92,0.06,0.91,0.07,0.84,0.06,0.82,0.07
0.68,0.9,0.04,0.92,0.07,0.82,0.11,0.8,0.11,0.73,0.07,0.91,0.06,0.89,0.07,0.81,0.06,0.81,0.07
0.68,0.9,0.04,0.93,0.06,0.84,0.1,0.81,0.1,0.76,0.06,0.91,0.06,0.89,0.08,0.81,0.06,0.8,0.08
0.68,0.91,0.04,0.93,0.05,0.87,0.08,0.83,0.08,0.8,0.05,0.91,0.07,0.88,0.08,0.8,0.07,0.8,0.08
0.68,0.91,0.04,0.95,0.04,0.85,0.09,0.81,0.09,0.85,0.04,0.92,0.06,0.85,0.1,0.82,0.06,0.76,0.1
