ACC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,TNR_ratio,TNR_diff,FPR_ratio,FPR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff,EQO_ratio,EQO_diff
0.64,0.5,0.23,0.45,0.5,0.36,0.53,0.24,0.53,0.14,0.5,0.94,0.04,0.82,0.12,0.87,0.04,0.71,0.12,0.34,0.52
0.64,0.51,0.22,0.47,0.5,0.33,0.55,0.24,0.55,0.12,0.5,0.94,0.04,0.81,0.13,0.87,0.04,0.69,0.13,0.35,0.53
0.64,0.53,0.22,0.49,0.48,0.31,0.56,0.25,0.56,0.12,0.48,0.93,0.05,0.84,0.11,0.84,0.05,0.74,0.11,0.37,0.52
0.65,0.55,0.21,0.51,0.46,0.26,0.59,0.25,0.59,0.11,0.46,0.92,0.06,0.87,0.09,0.82,0.06,0.78,0.09,0.38,0.53
0.65,0.56,0.21,0.53,0.45,0.25,0.6,0.26,0.6,0.1,0.45,0.92,0.06,0.84,0.12,0.82,0.06,0.71,0.12,0.4,0.53
0.65,0.57,0.2,0.56,0.42,0.2,0.63,0.25,0.63,0.1,0.42,0.9,0.07,0.91,0.06,0.79,0.07,0.85,0.06,0.41,0.53
0.66,0.59,0.2,0.56,0.42,0.2,0.62,0.27,0.62,0.08,0.42,0.91,0.06,0.85,0.11,0.81,0.06,0.72,0.11,0.42,0.52
0.66,0.6,0.19,0.58,0.4,0.2,0.61,0.28,0.61,0.08,0.4,0.91,0.06,0.86,0.1,0.82,0.06,0.73,0.1,0.43,0.51
0.66,0.62,0.18,0.59,0.39,0.18,0.61,0.3,0.61,0.07,0.39,0.92,0.05,0.86,0.1,0.84,0.05,0.75,0.1,0.44,0.5
0.66,0.64,0.18,0.62,0.37,0.18,0.6,0.31,0.6,0.07,0.37,0.92,0.06,0.85,0.11,0.84,0.06,0.7,0.11,0.46,0.48
0.66,0.65,0.17,0.64,0.35,0.17,0.6,0.32,0.6,0.07,0.35,0.92,0.06,0.89,0.08,0.83,0.06,0.77,0.08,0.48,0.47
0.67,0.66,0.17,0.65,0.34,0.15,0.61,0.32,0.61,0.08,0.34,0.91,0.06,0.93,0.05,0.83,0.06,0.85,0.05,0.48,0.47
0.67,0.67,0.16,0.67,0.32,0.15,0.6,0.33,0.6,0.08,0.32,0.92,0.06,0.93,0.05,0.84,0.06,0.87,0.05,0.5,0.46
0.67,0.68,0.16,0.67,0.32,0.13,0.6,0.34,0.6,0.07,0.32,0.92,0.05,0.93,0.05,0.85,0.05,0.86,0.05,0.51,0.46
