ACC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,TNR_ratio,TNR_diff,FPR_ratio,FPR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff,EQO_ratio,EQO_diff
0.57,0.55,0.23,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.94,0.04,0.0,1.0,0.91,0.04,0.0,1.0,0.0,1.0
0.59,0.47,0.27,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.95,0.03,0.0,1.0,0.92,0.03,0.0,1.0,0.0,1.0
0.59,0.47,0.26,0.39,0.61,0.0,1.0,0.0,1.0,0.01,0.61,0.96,0.03,0.0,1.0,0.93,0.03,0.0,1.0,0.2,0.8
0.6,0.47,0.26,0.41,0.59,0.01,0.79,0.2,0.79,0.01,0.59,0.91,0.06,0.6,0.22,0.84,0.06,0.67,0.22,0.3,0.69
0.62,0.53,0.23,0.48,0.51,0.02,0.75,0.24,0.75,0.03,0.51,0.91,0.06,0.58,0.24,0.84,0.06,0.64,0.24,0.36,0.63
0.63,0.52,0.23,0.46,0.52,0.18,0.65,0.24,0.65,0.06,0.52,0.93,0.05,0.81,0.13,0.86,0.05,0.7,0.13,0.35,0.58
0.64,0.66,0.17,0.64,0.35,0.11,0.61,0.34,0.61,0.08,0.35,0.94,0.04,0.93,0.04,0.88,0.04,0.89,0.04,0.49,0.48
0.65,0.53,0.21,0.48,0.48,0.39,0.5,0.27,0.5,0.14,0.48,0.96,0.03,0.81,0.13,0.91,0.03,0.69,0.13,0.38,0.49
0.66,0.65,0.17,0.62,0.37,0.23,0.55,0.34,0.55,0.09,0.37,0.95,0.04,0.85,0.11,0.89,0.04,0.7,0.11,0.48,0.46
0.66,0.71,0.14,0.71,0.28,0.19,0.52,0.4,0.52,0.11,0.28,0.95,0.03,0.97,0.02,0.91,0.03,0.94,0.02,0.55,0.4
0.66,0.63,0.17,0.61,0.37,0.34,0.49,0.34,0.49,0.15,0.37,0.95,0.03,0.88,0.08,0.9,0.03,0.79,0.08,0.47,0.43
