ACC,SP_ratio,SP_diff,TPR_ratio,TPR_diff,TNR_ratio,TNR_diff,FPR_ratio,FPR_diff,FNR_ratio,FNR_diff,PPV_ratio,PPV_diff,NPV_ratio,NPV_diff,FDR_ratio,FDR_diff,FOR_ratio,FOR_diff
0.69,0.96,0.02,0.95,0.04,0.9,0.06,0.87,0.06,0.83,0.04,0.93,0.05,0.77,0.17,0.84,0.05,0.61,0.17
0.69,0.93,0.03,0.98,0.01,0.86,0.09,0.82,0.09,0.95,0.01,0.93,0.05,0.8,0.15,0.85,0.05,0.65,0.15
0.68,0.94,0.02,0.97,0.02,0.86,0.08,0.83,0.08,0.91,0.02,0.93,0.05,0.78,0.16,0.85,0.05,0.63,0.16
0.69,0.94,0.02,0.96,0.03,0.84,0.1,0.81,0.1,0.88,0.03,0.94,0.04,0.77,0.17,0.87,0.04,0.61,0.17
0.69,0.92,0.03,0.99,0.0,0.82,0.11,0.78,0.11,0.98,0.0,0.94,0.04,0.79,0.15,0.87,0.04,0.64,0.15
0.68,0.94,0.02,0.97,0.03,0.85,0.09,0.81,0.09,0.9,0.03,0.94,0.04,0.78,0.16,0.86,0.04,0.63,0.16
0.69,0.93,0.03,0.97,0.02,0.83,0.1,0.79,0.1,0.91,0.02,0.94,0.04,0.78,0.16,0.88,0.04,0.62,0.16
0.69,0.94,0.03,0.98,0.02,0.85,0.09,0.81,0.09,0.92,0.02,0.93,0.05,0.78,0.16,0.86,0.05,0.63,0.16
0.69,0.94,0.02,0.98,0.02,0.85,0.09,0.82,0.09,0.92,0.02,0.93,0.05,0.79,0.16,0.85,0.05,0.63,0.16
0.69,0.94,0.02,0.97,0.02,0.87,0.08,0.83,0.08,0.91,0.02,0.93,0.05,0.79,0.15,0.85,0.05,0.63,0.15
